"Agency","Fiscal_Year","Program_Name","Gaa1","raa7","raa6"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - FRM Risk Map","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","Yes","Yes","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Lost Wages","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Payroll","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Public Assistance","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Purchase Card","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Reinsurance","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Training Grants","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","Yes","No","Yes"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Travel","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - U.S. Fire Administration","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Vendor Pay","Yes","","No"
"DHS","2021","Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds","Yes","Yes","Yes"
"DHS","2021","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","Yes","","No"
"DHS","2021","Federal Law Enforcement Training Centers (FLETC) - Mission Support","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO)","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Fleet Card","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI)","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Management","Yes","No","Yes"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Office of the Assistant Secretary","Yes","No","Yes"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Payroll","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Purchase Card","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Servicewide Agreements","Yes","","No"
"DHS","2021","Immigration and Customs Enforcement (ICE) - Travel","Yes","","No"
"DHS","2021","Management Directorate (MGMT) - Federal Protective Service","Yes","","No"
"DHS","2021","Management Directorate (MGMT) - Federal Protective Service","Yes","","No"
"DHS","2021","Management Directorate (MGMT) - Management & Administration","Yes","","No"
"DHS","2021","Office of Inspector General (OIG) - Audits, Inspections, & Investigations","Yes","No","Yes"
"DHS","2021","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","Yes","","No"
"DHS","2021","Science and Technology Directorate (S&T) - Research & Development","Yes","","No"
"DHS","2021","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds","Yes","","No"
"DHS","2021","Transportation Security Administration (TSA) - Operations & Support: Mission Support","Yes","","No"
"DHS","2021","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","Yes","","No"
"DHS","2021","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","Yes","","No"
"DHS","2021","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","Yes","","No"
"DHS","2021","Transportation Security Administration (TSA) - Research & Development","Yes","","No"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","Yes","No","Yes"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Administration","Yes","No","Yes"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","Yes","No","Yes"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","Yes","No","Yes"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","Yes","No","Yes"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","Yes","No","Yes"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Border Security Fencing","Yes","","No"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Miscellaneous","Yes","No","Yes"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","Yes","","No"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Operations and Support","Yes","","No"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Operations and Support","Yes","No","Yes"
"DHS","2021","U.S. Customs and Border Protection (CBP) - PR and VI Programs","Yes","No","Yes"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","Yes","No","Yes"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Refund and Drawback","Yes","No","Yes"
"DHS","2021","U.S. Secret Service (USSS) - Contribution for Annuity Benefits","Yes","No","Yes"
"DHS","2021","U.S. Secret Service (USSS) - Field Operations","Yes","","No"
"DHS","2021","U.S. Secret Service (USSS) - Procurement, Construction, & Improvement","Yes","No","Yes"
"DHS","2021","U.S. Secret Service (USSS) - Protection","Yes","","No"
"DHS","2021","U.S. Secret Service (USSS) - Training","Yes","No","Yes"
"DHS","2021","United States Coast Guard (USCG) - Aviation Logistics Command","Yes","No","Yes"
"DHS","2021","United States Coast Guard (USCG) - Coast Guard Boat Safety","Yes","No","Yes"
"DHS","2021","United States Coast Guard (USCG) - Maritime Oil Spill Program","Yes","","No"
"DHS","2021","United States Coast Guard (USCG) - Operations & Support","Yes","","No"
"DHS","2021","United States Coast Guard (USCG) - Payroll: Civilian","Yes","","No"
"DHS","2021","United States Coast Guard (USCG) - Payroll: Military","Yes","No","Yes"
"DHS","2021","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","Yes","","No"
"DHS","2021","United States Coast Guard (USCG) - Retired Pay","Yes","No","Yes"
"DHS","2021","United States Coast Guard (USCG) - Surface Forces Logistics Command","Yes","","No"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","Yes","","No"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","Yes","","No"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","Yes","No","Yes"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","Yes","","No"
"DHS","2022","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","Yes","No","Yes"
"DHS","2022","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","Yes","No","Yes"
"DOC","2021","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","Yes","No","Yes"
"DOC","2021","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Disaster Case Management","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims","Yes","","No"
"DOC","2021","U.S. Patent and Trademark Office","Yes","","No"
"DOC","2021","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","Yes","","No"
"DOC","2022","Bureau of Economic Analysis (BEA)","Yes","","No"
"DOC","2022","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement","Yes","","No"
"DOC","2022","Census Bureau - Current Demographic Statistics","Yes","","No"
"DOC","2022","Census Bureau - Current Economic Statistics","Yes","","No"
"DOC","2022","Census Bureau - Decennial Census","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - FRM Risk Map","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Funeral Assistance","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Lost Wages","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Payroll","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Public Assistance","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Purchase Card","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Training Grants","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Travel","Yes","","No"
"DHS","2022","Federal Emergency Management Agency (FEMA) - U.S. Fire Administration","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue","Yes","No","Yes"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Vendor Pay","Yes","No","Yes"
"DHS","2022","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","Yes","No","Yes"
"DHS","2022","Federal Law Enforcement Training Centers (FLETC) - Mission Support","Yes","No","Yes"
"DHS","2022","Immigration and Customs Enforcement (ICE) - CARES Act Funds","Yes","No","Yes"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO)","Yes","","No"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Fleet Card","Yes","","No"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI)","Yes","","No"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Management","Yes","No","Yes"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Office of the Assistant Secretary","Yes","No","Yes"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Payroll","Yes","","No"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Purchase Card","Yes","","No"
"DHS","2022","Immigration and Customs Enforcement (ICE) - Travel","Yes","","No"
"DHS","2022","Management Directorate (MGMT) - Federal Protective Service","Yes","No","Yes"
"DHS","2022","Management Directorate (MGMT) - Management & Administration","Yes","","No"
"DHS","2022","Office of Inspector General (OIG) - Audits, Inspections, & Investigations","Yes","","No"
"DHS","2022","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","Yes","No","Yes"
"DOC","2022","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program","Yes","No","Yes"
"DOC","2022","National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications","Yes","","No"
"DOC","2022","National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications","Yes","No","Yes"
"DHS","2022","Science and Technology Directorate (S&T) - Research & Development","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Mission Support","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits - Disaster Supplemental Funds","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Procurement, Construction, and Improvements: Aviation Screening Infrastructure","Yes","No","Yes"
"DHS","2022","Transportation Security Administration (TSA) - Research & Development","Yes","No","Yes"
"DHS","2022","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","Yes","","No"
"DHS","2022","U.S. Citizenship and Immigration Services (USCIS) - Administration","Yes","","No"
"DHS","2022","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","Yes","","No"
"DHS","2022","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","Yes","","No"
"DHS","2022","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","Yes","","No"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Border Security Fencing","Yes","No","Yes"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Operations and Support","Yes","","No"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Operations and Support","Yes","No","Yes"
"DHS","2022","U.S. Customs and Border Protection (CBP) - PR and VI Programs","Yes","","No"
"DOC","2023","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","Yes","","Yes"
"DOC","2023","Census Bureau - Geographic Support","Yes","","Yes"
"DOC","2023","Census Bureau - Periodic Economic Statistics","Yes","",""
"DOC","2023","Census Bureau - State Children's Health Insurance Program","Yes","",""
"DOC","2023","Census Bureau - Survey of Program Dynamics","Yes","",""
"DOC","2023","Census Bureau - Working Capital Fund","Yes","",""
"DOC","2023","Economic Development Administration (EDA)","Yes","",""
"DOC","2023","Economic Development Administration (EDA) - Grants","Yes","",""
"DOC","2023","Economic Development Administration (EDA) - Salaries and Expenses","Yes","",""
"DOC","2023","Internation Trade Administration (ITA)","Yes","","Yes"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","Yes","No","Yes"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","Yes","Yes","Yes"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Refund and Drawback","Yes","","No"
"DHS","2022","U.S. Secret Service (USSS) - Contribution for Annuity Benefits","Yes","","No"
"DHS","2022","U.S. Secret Service (USSS) - Field Operations","Yes","No","Yes"
"DHS","2022","U.S. Secret Service (USSS) - Procurement, Construction, & Improvement","Yes","","No"
"DHS","2022","U.S. Secret Service (USSS) - Protection","Yes","No","Yes"
"DHS","2022","U.S. Secret Service (USSS) - Training","Yes","","No"
"DHS","2022","United States Coast Guard (USCG) - Aviation Logistics Command","Yes","","No"
"DHS","2022","United States Coast Guard (USCG) - Coast Guard Boat Safety","Yes","","No"
"DHS","2022","United States Coast Guard (USCG) - Maritime Oil Spill Program","Yes","No","Yes"
"DHS","2022","United States Coast Guard (USCG) - Operations & Support","Yes","No","Yes"
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","Yes","",""
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","Yes","","Yes"
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","Yes","",""
"DOC","2023","National Technical Information Service (NTIS)","Yes","","Yes"
"DOC","2023","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)","Yes","",""
"DOC","2023","National Telecommunications and Information Administration (NTIA)","Yes","","Yes"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Broadband Equity, Access, and Deployment Program","Yes","","Yes"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program","Yes","","Yes"
"DHS","2022","United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds","Yes","No","Yes"
"DHS","2022","United States Coast Guard (USCG) - Payroll: Civilian","Yes","No","Yes"
"DHS","2022","United States Coast Guard (USCG) - Payroll: Military","Yes","No","Yes"
"DHS","2022","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","Yes","No","Yes"
"DHS","2022","United States Coast Guard (USCG) - Retired Pay","Yes","No","Yes"
"DHS","2022","United States Coast Guard (USCG) - Surface Forces Logistics Command","Yes","","No"
"DHS","2023","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","No","",""
"DOC","2023","Office of Inspector General (OIG) - Department of Commerce","Yes","","Yes"
"DOC","2023","Office of the Secretary (OS)","Yes","","Yes"
"DOC","2023","Office of the Secretary (OS) - Departmental Management","Yes","","Yes"
"DOC","2023","U.S. Patent and Trademark Office","Yes","","Yes"
"DOC","2023","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","Yes","","Yes"
"DHS","2023","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","No","",""
"DHS","2023","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","No","",""
"DHS","2023","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","No","",""
"DHS","2023","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","No","",""
"DHS","2023","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Building Resilient Infrastructure and Communities (BRIC) Grants","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Disaster Case Management","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - FRM Risk Map","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Funeral Assistance","Yes","Yes","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Lost Wages","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","No","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Payroll","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds","Yes","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","Yes","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","Yes","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Public Assistance","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Purchase Card","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Training Grants","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Travel","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - U.S. Fire Administration","Yes","",""
"DHS","2023","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Vendor Pay","Yes","","Yes"
"DHS","2023","Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds","Yes","",""
"DHS","2023","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","Yes","",""
"DHS","2023","Federal Law Enforcement Training Centers (FLETC) - Mission Support","Yes","",""
