"Fiscal_Year","Agency","Program_Name","Agency_Compliance","pcp12_1","pcp01_1","pcp2_2","pcp3_2","pcp4_2","pcp5_2","pcp6_2","pcp7_2","pcp8_2","pcp9_2","pcp10_2","pcp11_2"
"2023","DHS","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Building Resilient Infrastructure and Communities (BRIC) Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Disaster Case Management","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - FRM Risk Map","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","Non-compliant","3","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Lost Wages","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Payroll","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Public Assistance","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Purchase Card","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Training Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Travel","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - U.S. Fire Administration","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Vendor Pay","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Law Enforcement Training Centers (FLETC) - Mission Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - CARES Act Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Fleet Card","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Management","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Office of the Assistant Secretary","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Payroll","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Purchase Card","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement (ICE) - Travel","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Management Directorate (MGMT) - Federal Protective Service","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Management Directorate (MGMT) - Management & Administration","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Science and Technology Directorate (S&T) - Operations & Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Science and Technology Directorate (S&T) - Research & Development","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration (TSA) - Operations & Support: Mission Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration (TSA) - Procurement, Construction, and Improvements: Aviation Screening Infrastructure","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration (TSA) - Research & Development","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Application Processing","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Secret Service (USSS) - Contribution for Annuity Benefits","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Secret Service (USSS) - Field Operations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Secret Service (USSS) - Procurement, Construction, & Improvement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Secret Service (USSS) - Protection","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Secret Service (USSS) - Training","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Aviation Logistics Command","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Coast Guard Boat Safety","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Maritime Oil Spill Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Operations & Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Payroll: Civilian","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Payroll: Military","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Procurements, Construction, and Improvement - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Retired Pay","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Supply Fund","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard (USCG) - Surface Forces Logistics Command","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DNFSB","Salaries and Expenses (Direct)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Bureau of Economic Analysis (BEA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Bureau of Industry and Security (BIS)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Current Demographic Statistics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Current Economic Statistics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Decennial Census","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Data Ingest and Collection for the Enterprise","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Data Lake","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Geographic Support","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Periodic Economic Statistics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - State Children's Health Insurance Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Survey of Program Dynamics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Working Capital Fund","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Economic Development Administration (EDA) - Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Economic Development Administration (EDA) - Salaries and Expenses","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Economic Development Administration (EDA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Internation Trade Administration (ITA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Enforcement and Compliance","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Executive Direction and Administration","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Global Markets","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Industry and Analysis","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Minority Business Development Agency (MBDA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Purchase Card","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
