"agency","Key","Title","value","Fiscal_Year"
"CSOSA","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Accountability,Continued Pretrial Release,Fair Administration of Justice,Integration,Judicial Concurrence with PSA Recommendations,Maximize Court Appearance,Minimize Rearrest,Reduce Recidivism","2023"
"CSOSA","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","","2024"
"CSOSA","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2023"
"CSOSA","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"CSOSA","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","","2024"
"CSOSA","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2023"
"DFC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"DFC","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2024"
"DFC","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Debt Financing Program,Technical Assistance Program","2024"
"DFC","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2024"
"DFC","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"DFC","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2024"
"DHS","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"DHS","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2023"
"DHS","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"DHS","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2023"
"DHS","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2024"
"DHS","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance,Countering Weapons of Mass Destruction Office (CWMD) - Procurement\\, Construction\\, and Improvement,Cybersecurity and Infrastructure Security Agency (CISA) - All Other,Cybersecurity and Infrastructure Security Agency (CISA) - Payroll,Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program,Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program,Federal Emergency Management Agency (FEMA) - Building Resilient Infrastructure and Communities (BRIC) Grants,Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program,Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims,Federal Emergency Management Agency (FEMA) - Funeral Assistance,Federal Emergency Management Agency (FEMA)- Funeral Assistance,Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program,Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program,Federal Emergency Management Agency (FEMA) - Lost Wages,Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program,Federal Emergency Management Agency (FEMA) - Payroll,Federal Emergency Management Agency (FEMA) - Public Assistance,Federal Emergency Management Agency (FEMA) - Purchase Card,Federal Emergency Management Agency (FEMA) - Training Grants,Federal Emergency Management Agency (FEMA) - Transit Security Grant Program,Federal Emergency Management Agency (FEMA) - Travel,Federal Emergency Management Agency (FEMA) - Urban Search and Rescue,Federal Emergency Management Agency (FEMA) - Vendor Pay,Immigration and Customs Enforcement (ICE) - CARES Act Funds,Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO),Immigration and Customs Enforcement (ICE) - Fleet Card,Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI),Immigration and Customs Enforcement (ICE) - Payroll,Immigration and Customs Enforcement (ICE) - Purchase Card,Immigration and Customs Enforcement (ICE) - Travel,Management Directorate (MGMT) - Federal Protective Service,Management Directorate (MGMT) - Management & Administration,Science and Technology Directorate (S&T) - Operations & Support,Science and Technology Directorate (S&T) - Research & Development,Transportation Security Administration (TSA) - Research & Development,U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services,U.S. Citizenship and Immigration Services (USCIS) - Administration,U.S. Citizenship and Immigration Services (USCIS) - Application Processing,U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify),U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services,U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE),U.S. Customs and Border Protection (CBP) - Border Security Fencing,U.S. Customs and Border Protection (CBP) - Operations and Support,U.S. Customs and Border Protection (CBP) - PR and VI Programs,U.S. Customs and Border Protection (CBP) - Procurement\\, Construction\\, and Improvements,United States Coast Guard (USCG) - Maritime Oil Spill Program,United States Coast Guard (USCG) - Operations & Support,United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds,United States Coast Guard (USCG) - Payroll: Civilian,United States Coast Guard (USCG) - Procurement\\, Construction\\, & Improvement,United States Coast Guard (USCG) - Procurements\\, Construction\\, and Improvement - Disaster Supplemental Funds,United States Coast Guard (USCG) - Supply Fund,United States Coast Guard (USCG) - Surface Forces Logistics Command","2023"
"DHS","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","U.S. Citizenship and Immigration Services (USCIS) - Administration,U.S. Citizenship and Immigration Services (USCIS) - Immigrant Examinations Fee Account,U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services,U.S. Customs and Border Protection (CBP) - Refund and Drawback,U.S. Secret Service (USSS) - Contribution for Annuity Benefits,United States Coast Guard (USCG) - Coast Guard Boat Safety,United States Coast Guard (USCG) - Maritime Oil Spill Program,U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify),U.S. Secret Service (USSS) - Procurement\\, Construction\\, & Improvement,United States Coast Guard (USCG) - Operations & Support,U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE),Immigration and Customs Enforcement (ICE) - Procurement\\, Construction\\, and Improvements - Disaster Supplemental Funds,United States Coast Guard (USCG) - Aviation Logistics Command,United States Coast Guard (USCG) - Supply Fund,Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants,Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds,U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services,Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program,Office of Inspector General (OIG) - Audits\\, Inspections\\, & Investigations,U.S. Secret Service (USSS) - Training,United States Coast Guard (USCG) - Procurements\\, Construction\\, and Improvement - Disaster Supplemental Funds,Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation,Federal Emergency Management Agency (FEMA) - Public Assistance,United States Coast Guard (USCG) - Payroll: Military,Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims,Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program,Federal Emergency Management Agency (FEMA) - Purchase Card,Federal Emergency Management Agency (FEMA) - Urban Search and Rescue,Cybersecurity and Infrastructure Security Agency (CISA) - Payroll,Cybersecurity and Infrastructure Security Agency (CISA) - All Other,Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program,Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading,Federal Emergency Management Agency (FEMA) - Training Grants,Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support,Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI),Federal Emergency Management Agency (FEMA) - Hermit's Peak,Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program,Federal Emergency Management Agency (FEMA) - Payroll,U.S. Citizenship and Immigration Services (USCIS) - Application Processing,U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance,U.S. Customs and Border Protection (CBP) - Procurement\\, Construction\\, and Improvements,Federal Emergency Management Agency (FEMA) - Disaster Case Management,Federal Emergency Management Agency (FEMA) - FRM Risk Map,Federal Emergency Management Agency (FEMA) - Travel,Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance,Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds,Federal Emergency Management Agency (FEMA) - Vendor Pay,Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","2024"
"DHS","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","Yes","2023"
"DHS","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","Yes","2024"
"DHS","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","Federal Emergency Management Agency (FEMA) - Funeral Assistance,Federal Emergency Management Agency (FEMA)- Funeral Assistance","2023"
"DHS","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","Immigration and Customs Enforcement (ICE) - Procurement\\, Construction\\, and Improvements - Disaster Supplemental Funds","2024"
"DHS","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2023"
"DHS","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2024"
"DNFSB","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"DNFSB","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2023"
"DNFSB","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"DNFSB","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","No","2024"
"DNFSB","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2023"
"DNFSB","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","","2024"
"DNFSB","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Salaries and Expenses (Direct)","2023"
"DNFSB","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","","2024"
"DNFSB","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2023"
"DNFSB","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"DNFSB","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","","2024"
"DNFSB","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2023"
"DOC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2022"
"DOC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2023"
"DOC","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","","2024"
"DOC","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2023"
"DOC","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2024"
"DOC","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Bureau of Economic Analysis (BEA),Bureau of Industry and Security (BIS),Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement,Census Bureau,Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems,Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Data Ingest and Collection for the Enterprise,Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Data Lake,Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration,Census Bureau - Geographic Support,International Trade Administration (ITA),International Trade Administration (ITA) - Enforcement and Compliance,Minority Business Development Agency (MBDA),Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy,Minority Business Development Agency (MBDA) - Minority Business Development Grants,National Institute of Standards and Technology (NIST),National Institute of Standards and Technology (NIST) - Purchase Card,National Oceanic and Atmospheric Administration (NOAA),National Oceanic and Atmospheric Administration (NOAA) - Loans\\, IPACs\\, Other,National Technical Information Service (NTIS),National Telecommunications and Information Administration (NTIA),National Telecommunications and Information Administration (NTIA) - Broadband Equity\\, Access\\, and Deployment Program,National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure & Tribal Broadband Connectivity Program,National Telecommunications and Information Administration (NTIA) - First Responder Network Authority,National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund,Office of Inspector General (OIG) - Department of Commerce,Office of the Secretary (OS),Office of the Secretary (OS) - Departmental Management,U.S. Patent and Trademark Office,U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","2023"
"DOC","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","National Oceanic and Atmospheric Administration (NOAA) - Grants,Census Bureau - Geographic Support,National Telecommunications and Information Administration (NTIA) - First Responder Network Authority,National Institute of Standards and Technology (NIST)- IPACs/Other/Miscellaneous,National Institute of Standards and Technology (NIST)- Payments to Employees,International Trade Administration (ITA) - Industry and Analysis,National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees,National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts,Miniority Business Development Agency (MBDA) - Minority Business Development and Advocacy,National Telecommunications and Information Administration (NTIA) - Middle Mile Program,Census Bureau - Current Demographic Statistics,National Institute of Standards and Technology (NIST)- Contracts/Purchase Orders,Internation Trade Administration (ITA) - Executive Direction and Administration,Census Bureau - Current Economic Statistics,National Institute of Standards and Technology (NIST) - Purchase Cards,Office of Inspector General (OIG) - Department of Commerce,Office of the Secretary (OS) - Departmental Management,National Telecommunications and Information Administration (NTIA) -Digital Equity Program,National Institute of Standards and Technology (NIST) - Grants,Internation Trade Administration (ITA) - Enforcement and Compliance,Bureau of Industry and Security (BIS)-Dual Use Export Administration and Enforcement,Economic Development Adminsitration (EDA) - Salaries and Expenses,National Telecommunications and Information Administration (NTIA) - Connecting Minority Communities Pilot Program,Bureau of Economic Analysis (BEA),Census Bureau - Decennial Census,Census Bureau - Enterprise Data Caputre and Dissemination System (EDCADS)- Enterprise Dissemination Services,Census Bureau - Periodic Economic Statistics","2024"
"DOC","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2023"
"DOC","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2024"
"DOC","raa7_2","[raa7_2]Select the name(s) of the programs for the current reporting period of Improper Payment Risk Assessments that were prone to have significant Improper Payments. (Unit – Selected =Yes, Not Selected=No)","","2024"
"DOC","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2023"
"DOC","raa8","[raa8]Have any substantial changes been made to the Improper Payment risk assessment methodologies for the reporting period? (Unit- Yes/No)","No","2024"
"DOD","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","The main objective of the Department’s Payment Recovery Audit (PRA) program is to identify, recapture, and reallocate overpayments made by Department of Defense (DoD) Components in support of the DoD mission, while simultaneously demonstrating financial stewardship of resources. The Department’s PRA program consists of a combination of cost-effective internal controls implemented by DoD Components, PIIA-related initiatives, and recoveries  performed by TRICARE private sector contractors. The Department’s PRA efforts are a synchronization of actions taken by DoD Components with additional collection activities performed by the Defense Finance and Accounting Service, Defense Health Agency, and US Army Corps of Engineers.","2023"
"DOD","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","The main objective of the Department’s Payment Recovery Audit (PRA) program is to identify, recapture, and reallocate overpayments made by Department of Defense (DoD) Components in support of the DoD mission, while simultaneously demonstrating financial stewardship of resources. The Department’s PRA program consists of a combination of cost-effective internal controls implemented by DoD Components, PIIA-related initiatives, and recoveries performed by TRICARE private sector contractors. The Department’s PRA efforts are a synchronization of actions taken by DoD Components with additional collection activities performed by the Defense Finance and Accounting Service, Defense Health Agency, and US Army Corps of Engineers.","2024"
"DOD","ara2_1","[ara2_1]Provide a minimum of 2-4 sentences explaining the methods used by the agency to recover Improper Payments identified in recovery AUDITS. (Unit- Free-Text)","The main objective of the Department’s Payment Recovery Audit and Activities (PRA) program is to identify, recapture, and reallocate overpayments made by DoD Components in support of the DoD mission while simultaneously demonstrating financial stewardship of resources. The Department’s PRA program consists of a combination of cost-effective internal controls implemented by DoD Components, PIIA-related initiatives, and recovery activities performed by TRICARE private sector contractors. The Department’s PRA efforts are a synchronization of actions taken by DoD Components with additional collection activities performed by the Defense Finance and Accounting Service (DFAS), Defense Health Agency (DHA), USACE on behalf of the Department.","2022"
"DOD","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2023"
"DOD","raa6_1","[raa6_1]Did the agency perform any Improper Payment Risk Assessments for programs in Phase 1 in the current reporting period? (Unit - Yes/No)","Yes","2024"
"DOD","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Military Health Benefits - Administrative,U.S. Army Corps of Engineers - Commercial Pay,U.S. Army Corps of Engineers - Travel Pay","2023"
"DOD","raa6_2","[raa6_2]Select the name of each Phase 1 program that performed an Improper Payment risk assessment in the current reporting period. (Unit – Selected =Yes, Not Selected=No)","Military Health Benefits – TRICARE Pharmacy Program (TPharm),Civilian Pay – Navy,Military Pay Navy – Reserve,Travel Pay Marine Corps – Defense Travel System (DTS),Military Pay Navy – Active Duty,Travel Pay Navy – Defense Travel System (DTS),Military Health Benefits – TRICARE West Region Program (West),Civilian Pay – Department of Air Force (DAF),Military Pay Marine Corps – Active Duty,Military Health Benefits – TRICARE East Region Program (East),Military Health Benefits – TRICARE Overseas Program (TOP),Travel Pay Navy – Integrated Automated Travel System (IATS),Military Health Benefits – TRICARE Medicare Eligible Program (TMEP),Military Pay Department of Air Force (DAF) – Active Duty,Military Pay Department of Air Force (DAF) – Air National Guard,Travel Pay Department of Air Force (DAF) - Reserve Travel System (RTS),Travel Pay Marine Corps - MARINE CORPS TOTAL FORCE SYSTEM (MCTFS),Travel Pay Marine Corps – Integrated Automated Travel System (IATS),Military Pay Department of Air Force (DAF) – Reserve,Military Pay Marine Corps – Reserve","2024"
"DOD","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2023"
"DOD","raa7_1","[raa7_1]Did any Improper Payment Risk Assessment conducted during the current reporting period indicate that a program was likely to be susceptible to significant Improper Payments? (Unit - Yes/No)","No","2024"
