"End Date","Recorded Date","Agency","Program Name","GoalNumber","Goal","GoalStatus","GoalNote","GoalECD","Quarter Year"
"Dec 14 2018  4:37PM","Dec 14 2018  4:37PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Progress Goal #1","a.	Analysis of first yearâ€™s data reported by state agencies to FNS summarizing the results of their review of school district program operations. ","On-Track","","Jun 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:47PM","Dec 14 2018  4:47PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #1","a.	Analysis of first yearâ€™s data reported by state agencies to FNS summarizing the results of their review of school district program operations. ","On-Track","","Jun 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:56PM","Dec 14 2018  4:56PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Progress Goal #1","Identify states to work with contractor to support behavioral insights messaging development.","On-Track","","Mar 19 2018 12:00AM","Q4 2018"
"Oct 27 2022  6:48AM","Oct 27 2022  6:48AM","VA","Pension","Progress Goal #1","Perform Special Focused Reviews to ensure claims processors apply proper policies and procedures in making accurate decisions.","On-Track","Conduct a Special Focused Review to ensure Pension Management Center compliance with the required adjustment of incarcerated pension recipients.","Dec  1 2022 12:00AM","Q4 2022"
"Jul 27 2022 10:14AM","Jul 27 2022 10:14AM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Progress Goal #2","RMA Compliance continues to work with Product Management to finalize changes to current FCIC policy and procedure regarding record requirements for vertically integrated or direct-marketing producers.","On-Track","","Jun  1 2023 12:00AM","Q3 2022"
"Dec 14 2018  5:07PM","Dec 14 2018  5:07PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Progress Goal #1","Synthesize and analyze the detailed error data from the IPERIA reviews in preparation for 2019 presentation to Approved Insurance Providers (AIPs).","On-Track","","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:20PM","Dec 14 2018  5:20PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Progress Goal #1","Identify training gaps and inconsistencies in Federal reviews of State performance and provide a webinar to address gaps found. ","On-Track","FNS tracks and reports improper payments on an annual basis and as such establishes mitigation strategies and agency goals and priorities on an annual basis as well.  ","Aug 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:22PM","Dec 14 2018  5:22PM","FCC","Universal Service Fund - Lifeline","Progress Goal #1","Soft-Lauch 10 additional states into the National Verifier.","Completed","","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:27PM","Dec 14 2018  5:27PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Progress Goal #1","Complete the 2-year Funding and Participation target area management evaluation (ME) reporting work. ","On-Track","Fieldwork was completed in September 2018. Reporting work is expected to be complete by the end of Q2 of FY 2019. ME follow up work will continue until all MEs are closed.","Mar 19 2018 12:00AM","Q4 2018"
"Dec 17 2018  5:18PM","Dec 17 2018  5:18PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #1","Identifying ways to help grantees reduce errors.","On-Track","It is OCC's goal to assist grantees to improve the overall administration of their CCDF programs, to help them reduce errors, and to help them reduce improper payments.","Dec 20 2018 12:00AM","Q4 2018"
"Dec  7 2018  1:07PM","Dec  7 2018  1:07PM","RRB","Medicare","Progress Goal #2","zz","On-Track","z","May 20 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:19PM","Dec 11 2018  3:19PM","ED","William D. Ford Federal Direct Loan Program ","Progress Goal #2","Implementation of an improved model for selecting FAFSA applicants for income verification. FSA is implementing an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.  ","On-Track","","Jun 20 2018 12:00AM","Q4 2018"
"Apr 19 2022 10:43AM","Apr 19 2022 10:43AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Progress Goal #2","Continue planning and analysis for management information and automated employer participation notices, pending information technology prioritization.","On-Track","","Sep  1 2023 12:00AM","Q2 2022"
"Dec 11 2018  3:37PM","Dec 11 2018  3:37PM","ED","Federal Pell Grant Program","Progress Goal #2","Implementation of an improved model for selecting FAFSA applicants for income verification. FSA is implementing an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","On-Track","","Jun 20 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:08AM","Dec 12 2018  8:08AM","ED","William D. Ford Federal Direct Loan Program ","Progress Goal #2","Implementation of an improved model for selecting FAFSA applicants for income verification. FSA is implementing an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","On-Track","","Jun 20 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:23AM","Dec 12 2018  8:23AM","ED","Federal Pell Grant Program","Progress Goal #2","Implementation of an improved model for selecting FAFSA applicants for income verification. FSA is implementing an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","On-Track","","Jun 20 2018 12:00AM","Q4 2018"
"Dec 13 2018 12:13PM","Dec 13 2018 12:13PM","VA","Purchased Long Term Services and Supports","Progress Goal #2","Define the process to purchase care consistent with VAAR requirements for individual authorizations less than $10,000 and increase the percentage of VAAR compliant individual authorizations less than $10,000 to purchase care in the community with the","On-Track","Held discussions with Office of Community Care to have Leadership issue OCC Memorandum for PLTSS that defines the process explaining how eCert is being modified to electronically track the approval of designations to bring PLTSS in compliance with VA","Mar 19 2018 12:00AM","Q4 2018"
"Dec 13 2018  2:34PM","Dec 13 2018  2:34PM","DOT","Federal Highway Administration Highway Planning and Construction","Progress Goal #2","Refine sampling plan to include additional transaction testing.","On-Track","","Jul 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  9:11AM","Dec 14 2018  9:11AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Progress Goal #2","Conduct EITC pre-refund audits.","On-Track","Nearly 300K audits are conducted annually and about 70% are pre-refund.","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018 12:35PM","Dec 14 2018 12:35PM","VA","Pension","Progress Goal #2","Upfront expansion to all Pension end products to allow display of FTI received from the Internal Revenue Service and SSA.  Use of information would provide for more accurate processing of claim decisions.","On-Track","Review of updated IRS tax codes and Application Change Request (ACR) completed by Pension and Fiduciary Service.  ACR forwarded to Hines to update the Corporate tables for release into production.","Feb 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:15PM","Dec 14 2018  1:15PM","VA","VA Community Care","Progress Goal #2","Implement  a new set of business rules in FBCS to help identify improper payments in pre-payment state.","On-Track","Work toward this task began on 11/1/2018.","Jan 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","Progress Goal #2","Achieve a monthly/quarterly Defense Travel System improper payments rate below 5.75 percent.","On-Track","Defense Travel System improper payment metrics are reported by DFAS to DoD Components on a monthly basis.","Sep 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:54PM","Dec 14 2018  1:54PM","DOD","Military Pay","Progress Goal #2","Determine the best approach and appropriate sources to obtain sufficient and timely personnel supporting documentation for payroll disbursements from the relevant DoD Component(s).","Completed","","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:31PM","Dec 14 2018  3:31PM","VA","Compensation","Progress Goal #2","There has been mandatory training for field employees in all 56 ROs on subject matter related to processing errors and temporary total evaluations, such as: Exam                                                                                         ","On-Track","Notice of required training was sent out in a Compensation Service calendar communication on 10/3/2018.  ceived information on percent of RO employees who have taken related trainings thus far from training contractor, listed by training title    ","Sep 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:45PM","Dec 14 2018  3:45PM","VA","Purchased Long Term Services and Supports","Progress Goal #2","Define the process to purchase care consistent with VAAR requirements for individual authorizations less than $10,000 and increase the percentage of VAAR compliant individual authorizations less than $10,000 to purchase care in the community with the","On-Track","Held discussions with Office of Community Care to have Leadership issue OCC Memorandum for PLTSS that defines the process explaining how eCert is being modified to electronically track the approval of designations to bring PLTSS in compliance with VA","Mar 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:37PM","Dec 14 2018  4:37PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Progress Goal #2","a.	Posting grant opportunities for State child nutrition agencies to fund technology projects as well as training, review, and monitoring of local agency operations. The grants will fund projects that identify integrity risk and reduce program error.","On-Track","","Jan 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:47PM","Dec 14 2018  4:47PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #2","a.	Posting grant opportunities for State child nutrition agencies to fund technology projects as well as training, review, and monitoring of local agency operations. The grants will fund projects that identify integrity risk and reduce program error.","On-Track","","Jan 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:56PM","Dec 14 2018  4:56PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Progress Goal #2","Develop revised guidance to provide states with enhanced NDNH recommended operation procedures.","On-Track","","Mar 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:07PM","Dec 14 2018  5:07PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Progress Goal #2","Make revisions to Crop Insurance Handbook.","Completed","","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:20PM","Dec 14 2018  5:20PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Progress Goal #2","Issue revisions to the FNS Handbook 315 to clarify policy and procedures for Federal reviews of State performance in order to improve quality and consistency. ","On-Track","FNS tracks and reports improper payments on an annual basis and as such establishes mitigation strategies and agency goals and priorities an annual basis as well.  The goals stated here are our annual goals and priorities. ","Sep 19 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:22PM","Dec 14 2018  5:22PM","FCC","Universal Service Fund - Lifeline","Progress Goal #2","Established data connections with 4 additional states to automate eligibility checking for the National Verifier.","Completed","","Dec 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:27PM","Dec 14 2018  5:27PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Progress Goal #2","Move two resources (WIC Vendor Management and Food Delivery Handbook update; and WIC Certification and Eligibility Handbook) through clearance in preparation for release.","On-Track","Both documents are in draft ","Mar 19 2018 12:00AM","Q4 2018"
"Dec 17 2018  5:18PM","Dec 17 2018  5:18PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #2","Reduce monetary loss.","On-Track","","Dec 20 2018 12:00AM","Q4 2018"
"Apr 19 2019  5:11PM","Apr 19 2019  5:11PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #2","Reviewing grant proposals from State child nutrition agencies to fund technology projects as well as training, review, and monitoring of local agency operations. The grants will fund projects that identify integrity risk and reduce program error.","On-Track","","Jun  1 2019 12:00AM","Q2 2019"
"Apr  5 2019  1:44PM","Apr  5 2019  1:44PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Progress Goal #1","Improve the medical continuing disability review appeal process by automating manual actions and expanding functionality to track and control cases. ","On-Track","Continue identifying automated enhancements to track and cease cases timely. ","Sep  1 2019 12:00AM","Q2 2019"
"Feb  5 2019 12:00AM","","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #1","Identifying ways to help grantees reduce errors. ","On-Track","It is OCC's goal to assist grantees to improve the overall administration of their CCDF programs, to help them reduce errors, and to help them reduce improper payments. ","Dec 20 2020 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Progress Goal #1","Conduct a Medicaid Integrity Institute course titled “Medicaid Provider Enrollment Seminar” in January 2019, which will focus exclusively on complying with provider screening & enrollment requirements to reduce state & local agency process errors.","On-Track","None","Jan 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #1","Conduct a Medicaid Integrity Institute course titled “Medicaid Provider Enrollment Seminar” in January 2019, which will focus exclusively on complying with provider screening & enrollment requirements to reduce state & local agency process errors.","On-Track","None","Jan 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #1","HHS will continue to educate IRF providers through the Targeted Probe & Educate (TPE) process in order to reduce the error rate.","On-Track","HHS plans to use the Medicare Learning Network (MLN) among other options to achieve this goal.","Dec 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #1","HHS will host an industry-wide training in January 2019 to provide an overview of the RADV program for representatives of MAOs, Programs of All-Inclusive Care for the Elderly, Cost Plans, Demonstration Projects, and Third Party Submitters.","On-Track","None","Jan 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #1","In 2019, HHS will continue its national training sessions for Part D sponsors on payment and data submission, offering training sessions with detailed instructions as part of the improper payment estimation process.","On-Track","None","Dec 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #2","Reduce Monetary Loss","On-Track","None","Dec 20 2020 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Progress Goal #2","By December 2018, HHS will be working to complete status assessments of FY 2016 Payment Error Rate Measurement (PERM) corrective action plans and provide corresponding corrective action feedback to states.","On-Track","None","Dec 18 2018 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #2","Pilot a process to screen Medicaid-only providers on behalf of states in FY19. For the pilot, screen two states’ Medicaid-only providers and produce a report of the providers found with licensure issues, criminal activity, and Do Not Pay activity.","On-Track","None","Dec 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #2","In 2019, HHS will continue to approve IRF issues for Recovery Audit Contractor (RAC) review, as appropriate.","On-Track","None","Dec 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #2","HHS will release data underlying a FFS Adjustor Study in FY19.","On-Track","None","Dec 19 2019 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #2","Continue formal outreach to plan sponsors for invalid/incomplete documentation in FY19, and distribute plan summary reports to all plans participating in the national payment error estimate to provide feedback on submission and validation results.","On-Track","None","Dec 19 2019 12:00AM","Q4 2018"
"Apr 19 2019  4:59PM","Apr 19 2019  4:59PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Progress Goal #2","Issue revisions to the FNS Handbook 315 to clarify policy and procedures for Federal reviews of State performance in order to improve quality and consistency. ","On-Track","FNS tracks and reports improper payments on an annual basis and as such establishes mitigation strategies and agency goals and priorities an annual basis as well.  The goals stated here are our annual goals and priorities. ","Sep  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  5:05PM","Apr 19 2019  5:05PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Progress Goal #2","Reviewing grant proposals from State child nutrition agencies to fund technology projects as well as training, review, and monitoring of local agency operations. The grants will fund projects that identify integrity risk and reduce program error.","On-Track","","Jun  1 2019 12:00AM","Q2 2019"
"Dec 10 2020  1:09PM","Dec 10 2020  1:09PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Progress Goal #2","PERM Corrective Actions","On-Track","HHS will monitor PERM Corrective Action Plan submissions and follow up with all states on their progress in implementing effective corrective actions. HHS will use lessons learned to inform areas to evaluate for future guidance and education.","Dec  1 2020 12:00AM","Q4 2020"
"Dec 10 2020  1:34PM","Dec 10 2020  1:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #2","PERM Corrective Actions","On-Track","HHS will monitor PERM Corrective Action Plan submissions and follow up with all states on their progress in implementing effective corrective actions. HHS will use lessons learned to inform areas to evaluate for future guidance and education.","Dec  1 2020 12:00AM","Q4 2020"
"Dec 10 2020  1:47PM","Dec 10 2020  1:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #2","Prior Authorization for Certain DMEPOS Items","On-Track","In FY 2020, HHS provisionally affirmed over 53,130 DMEPOS items through the prior authorization process. HHS expanded requirements for prior authorization for five Pressure Reducing Support Surface codes and six Lower Limb Prosthetic codes.","Dec  1 2020 12:00AM","Q4 2020"
"Dec 10 2020  2:11PM","Dec 10 2020  2:11PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #2","Contract-level RADV Audits for Payment Years 2016 and 2017 ","On-Track","HHS expects to start contract-level RADV audits for payment years 2016 and 2017 by fall 2021.","Dec  1 2020 12:00AM","Q4 2020"
"Dec 10 2020  2:25PM","Dec 10 2020  2:25PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #2","Training","On-Track","HHS will continue national training sessions on payment and data submission with detailed instructions as part of the improper payment estimation process for Part D sponsors.","Dec  1 2020 12:00AM","Q4 2020"
"Oct 29 2020  3:00PM","Oct 29 2020  3:00PM","USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","Progress Goal #1","Completed national training. Conducting ongoing refresh trainings ","Completed","","Dec  1 2020 12:00AM","Q4 2020"
"Nov 13 2020  4:40PM","Nov 13 2020  4:40PM","FCC","Universal Service Fund - Lifeline","Progress Goal #2","Begin sampling and reviewing state eligibility verifications for new enrollees in all three NLAD opt-out states.  ","On-Track","","Dec  1 2020 12:00AM","Q4 2020"
"Nov 16 2020  4:12PM","Nov 16 2020  4:12PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #2","FNS is studying the efficacy of a policy that requires certification decisions on school meals applications in specified school districts to undergo second review. CN will use the results of that study to further improve the certification process. ","On-Track","","Dec  1 2020 12:00AM","Q4 2020"
"Nov 16 2020  4:38PM","Nov 16 2020  4:38PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Progress Goal #2","FNS is studying the efficacy of a policy that requires certification decisions on school meals applications in specified school districts to undergo second review. CN will use the results of that study to further improve the certification process. ","On-Track","","Dec  1 2020 12:00AM","Q4 2020"
"Nov 17 2020 10:04AM","Nov 17 2020 10:04AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Progress Goal #2","Prepare to support use of the expanded SNAP Model Notice Toolkit in additional States to ensure program requirements in client notices are clear and understandable. Many wage and salary payment errors are the result of clients failing to report info.","On-Track","","Dec  1 2020 12:00AM","Q4 2020"
"Dec  4 2020 10:22AM","Dec  4 2020 10:22AM","FCC","Universal Service Fund - Schools and Libraries","Progress Goal #2","","","","","Q4 2020"
"Dec  8 2020  5:04PM","Dec  8 2020  5:04PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #2","Reduce monetary loss.","On-Track","None.","Dec  1 2020 12:00AM","Q4 2020"
"Feb 12 2021  4:01PM","Feb 12 2021  4:01PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Progress Goal #2","PERM Corrective Action Plans ","On-Track","HHS will monitor PERM Corrective Action Plan submissions and follow up with all states on their progress in implementing effective corrective actions. HHS will use lessons learned to inform areas to evaluate for future guidance and education.","Sep  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:08PM","Feb 12 2021  4:08PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #2","FNS is studying the efficacy of a policy that requires certification decisions on school meal applications in selected school districts undergo second review. Based on draft results, FNS is developing an action plan to continue improving the process.","On-Track","","Dec  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:15PM","Feb 12 2021  4:16PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #2","PERM Corrective Action Plans","On-Track","HHS will monitor PERM Corrective Action Plan submissions and follow up with all states on their progress in implementing effective corrective actions. HHS will use lessons learned to inform areas to evaluate for future guidance and education.","Sep  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:24PM","Feb 12 2021  4:24PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #2","Prior Authorization for Certain DMEPOS Items","On-Track","In FY 2020, HHS provisionally affirmed over 53,130 DMEPOS items through the prior authorization process. HHS expanded requirements for prior authorization for five Pressure Reducing Support Surface codes and six Lower Limb Prosthetic codes.","Dec  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:29PM","Feb 12 2021  4:29PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #2","Contract-level RADV Audit for Payment Year 2015","On-Track","The payment year 2015 RADV audit medical record submission phase is ongoing.","Dec  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:32PM","Feb 12 2021  4:32PM","DOD","Military Pay","Progress Goal #2","Assess newly implemented SOPs to identify gaps in business processes to disseminate sample listing. Improve the communication between the DoD Components and payment reviewers to ensure timely submission of sufficient documentation to support samples.","On-Track","","May  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:34PM","Feb 12 2021  4:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #2","Training","On-Track","HHS will continue national training sessions on payment and data submission with detailed instructions as part of the improper payment estimation process for Part D sponsors.","Oct  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Progress Goal #2","Assess newly implemented SOPs to identify gaps in business processes to disseminate sample listing. Improve the communication between the DoD Components and payment reviewers to ensure timely submission of sufficient documentation to support samples.","On-Track","","May  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:42PM","Feb 12 2021  4:42PM","DOD","Military Health Benefits - Healthcare","Progress Goal #2","Perform quarterly reviews of all Contractors by monitoring and assessing healthcare claims processing performance.","On-Track","","Mar  1 2021 12:00AM","Q1 2021"
"Feb 12 2021  4:51PM","Feb 12 2021  4:51PM","DOD","Military Retirement","Progress Goal #2","Ongoing evaluation and training efforts for those affected by this process change. Ensure compliance with new processing procedures for establishing new annuity accounts. ","On-Track","","Dec  1 2021 12:00AM","Q1 2021"
