"Agency","Program_Name","Fiscal_Year","Month_and_Year_start__date_for_data","Month_and_Year_end__date_for_data","CY_Confidence_Level_%","CY_Margin__of_Error_+/-","Outlays_($M)","IP_Amount_($M)","CY_Over-payment_$","CY_Under-payment_$","CY_Unknown_Payments_$","CY_Technically_Improper__due_to_Statute_or_Reg_$","CY_Overpayment_Rate","CY_Under_payment_Rate","CY_Unknown_Payments_Rate","CY_Technically_Improper_due_to_Statute_or_Reg_Rate","IP_Rate","IP_Unknown_Amount_($M)","IP_Unknown_Rate","IP_Unknown_Target_Rate","Outlays_Current_Year+1_Amount","Unknown_Curent_Year+1_Amount","IP_Current_Year+1_Amount","IP_Unknown_Current_Year+1_Rate"
"CNCS","The Foster Grandparent Program (FGP)","2018","","","","","87.2500000000","","18.1100000000","0.0600000000","","","0.20756446990000","0.00068767910000","","","0.20825214900000","18.1700000000","0.20825214900000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2019","2018-04-20","2019-03-02","$0.90"," +/-  9.71","92.5400000000","2.1300000000","2.1100000000","0.0200000000","23.6100000000","0.0000000000","0.02280095090000","0.00021612280000","0.25513291550000","0.00000000000000","0.02301707370000","25.7400000000","0.27814998920000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2020","2019-04-01","2020-03-31","0.95","   +/- 4.6","91.5200000000","3.2000000000","1.7900000000","1.4100000000","9.7500000000","0.0000000000","0.01955856640000","0.01540646850000","0.10653409090000","0.00000000000000","0.03496503500000","12.9500000000","0.14149912590000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2021","2020-04-01","2021-03-01",">95%","6.4","94.1000000000","0.8500000000","0.6600000000","0.1900000000","17.3400000000","0.0000000000","0.00701381510000","0.00201912860000","0.18427205100000","0.00000000000000","0.00903294370000","18.1900000000","0.19330499470000","","94.1000000000","16.4200000000","0.8000000000","0.18299681190000"
"CNCS","The Foster Grandparent Program (FGP)","2022","2021-04-01","2022-03-01","95% to <100%","7.3","91.6300000000","1.5600000000","1.5600000000","0.0000000000","20.1900000000","0.0000000000","0.01702499180000","0.00000000000000","0.22034268250000","0.00000000000000","0.01702499180000","21.7500000000","0.23736767430000","0.22700000000000","91.6300000000","19.2800000000","1.5600000000","0.22743642910000"
"CNCS","The Foster Grandparent Program (FGP)","2023","2022-04-01","2023-03-01","95% to <100%","5.1","77.3180000000","2.1430000000","2.0680000000","0.0750000000","5.4920000000","0.0000000000","0.02674668250000","0.00097001990000","0.07103132520000","0.00000000000000","0.02771670250000","7.6350000000","0.09874802760000","0.01000000000000","77.3180000000","4.9000000000","1.7000000000","0.08536175280000"
"CNCS","The Foster Grandparent Program (FGP)","2024","2023-04-01","2024-03-01","95% to <100%","6.7","90.6300000000","2.8300000000","2.7100000000","0.1200000000","13.1400000000","0.0000000000","0.02990179852100","0.00132406487900","0.14498510427000","0.00000000000000","0.03122586340100","15.9700000000","0.17621096767100","0.01000000000000","90.6300000000","12.6800000000","2.3800000000","0.16617014233700"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2012","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2013","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2014","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2015","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2016","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2017","","","","","41.0480000000","","3.0170280000","0.0000000000","","","0.07350000000000","0.00000000000000","","","0.07350000000000","3.0170280000","0.07350000000000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2018","","","","","40.3600000000","","6.9800000000","0.0000000000","","","0.17294350840000","0.00000000000000","","","0.17294350840000","6.9800000000","0.17294350840000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","2018-04-21","2019-03-03","$0.90"," +/-  15.14","43.4700000000","3.5100000000","2.2400000000","1.2700000000","12.6900000000","0.0000000000","0.05152979070000","0.02921555100000","0.29192546580000","0.00000000000000","0.08074534160000","16.2000000000","0.37267080750000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2020","2019-04-01","2020-03-31","0.95"," +/- 6.8","42.6000000000","3.9100000000","1.9400000000","1.9700000000","3.5000000000","0.0000000000","0.04553990610000","0.04624413150000","0.08215962440000","0.00000000000000","0.09178403760000","7.4100000000","0.17394366200000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2021","2020-04-01","2021-03-01",">95%","2.92","43.3700000000","3.1239000000","3.0520000000","0.0719000000","2.8000000000","0.0000000000","0.07037122430000","0.00165782800000","0.06456075630000","0.00000000000000","0.07202905230000","5.9239000000","0.13658980860000","","43.3700000000","2.6000000000","2.9100000000","0.12704634540000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2022","2021-04-01","2022-03-01","95% to <100%","6.7","45.0400000000","1.4680000000","1.3700000000","0.0980000000","6.2900000000","0.0000000000","0.03041740680000","0.00217584370000","0.13965364120000","0.00000000000000","0.03259325040000","7.7580000000","0.17224689170000","0.16200000000000","45.0400000000","5.8400000000","1.4600000000","0.16207815280000"
"CNCS","The Senior Companion Program (SCP)","2012","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2013","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2014","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2015","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2016","","","","","","","","","","","","","","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2017","","","","","33.8050000000","","5.6760000000","0.0000000000","","","0.16790415620000","0.00000000000000","","","0.16790415620000","5.6760000000","0.16790415620000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2018","","","","","38.0900000000","","10.6100000000","0.1300000000","","","0.27855080070000","0.00341296930000","","","0.28196377000000","10.7400000000","0.28196377000000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2019","2018-04-22","2019-03-04","$0.90"," +/-  8.90","38.7300000000","1.2810000000","1.1750000000","0.1060000000","9.6760000000","0.0000000000","0.03033823910000","0.00273689650000","0.24983217140000","0.00000000000000","0.03307513560000","10.9570000000","0.28290730700000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2020","2019-04-01","2020-03-31","0.95"," +/- 4.1","38.4800000000","0.9600000000","0.8700000000","0.0900000000","2.9100000000","0.0000000000","0.02260914760000","0.00233887730000","0.07562370060000","0.00000000000000","0.02494802490000","3.8700000000","0.10057172560000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2021","2020-04-01","2021-03-01",">95%","3.39","38.3600000000","0.9650000000","0.9650000000","0.0000000000","6.8620000000","0.0000000000","0.02515641290000","0.00000000000000","0.17888425440000","0.00000000000000","0.02515641290000","7.8270000000","0.20404066740000","","38.3600000000","6.5230000000","0.9170000000","0.19395203340000"
"CNCS","The Senior Companion Program (SCP)","2022","2021-04-01","2022-03-01","95% to <100%","7.9","37.3100000000","1.5030000000","1.4370000000","0.0660000000","8.2750000000","0.0000000000","0.03851514340000","0.00176896270000","0.22179040470000","0.00000000000000","0.04028410610000","9.7780000000","0.26207451090000","0.01000000000000","37.3100000000","7.9000000000","1.5000000000","0.25194317880000"
"CNCS","The Senior Companion Program (SCP)","2023","2022-04-01","2023-03-01","95% to <100%","6.6","34.3650000000","2.0710000000","2.0250000000","0.0460000000","3.3050000000","0.0000000000","0.05892623310000","0.00133857120000","0.09617343230000","0.00000000000000","0.06026480430000","5.3760000000","0.15643823660000","0.01000000000000","34.3649000000","3.1330000000","1.8990000000","0.14642847790000"
"CPSC","Non-Payroll","2012","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2013","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2014","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2015","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2016","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2017","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2018","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2019","2018-10-01","2019-09-30","Census","   +/-  0","27.0000000000","0.1500000000","0.1500000000","0.0000000000","0.0000000000","0.0000000000","0.00555555560000","0.00000000000000","0.00000000000000","0.00000000000000","0.00555555560000","0.1500000000","0.00555555560000","","","","",""
"CPSC","Non-Payroll","2020","",""," -","   +/-","33.4000000000","0.2100000000","0.2100000000","0.0000000000","0.0000000000","0.0000000000","0.00628742510000","0.00000000000000","0.00000000000000","0.00000000000000","0.00628742510000","0.2100000000","0.00628742510000","","","","",""
"CPSC","Non-Payroll","2021","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Non-Payroll","2022","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Payroll - Consumer Product Safety Commission","2021","","","","","","","","","","","","","","","","","","","","","",""
"CPSC","Payroll - Consumer Product Safety Commission","2022","","","","","","","","","","","","","","","","","","","","","",""
"CSOSA","Accountability","2022","","","","","","","","","","","","","","","","","","","","","",""
"CSOSA","Integration","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2004","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2005","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2006","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2007","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2008","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2009","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2010","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2011","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2012","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2013","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2014","","","","","0.2800000000","","","","","","","","","","0.00000000000000","0.0000000000","0.00000000000000","","","","",""
"DHS","CBP - Hurricane Sandy","2015","","","","","0.4650000000","","0.0000000000","0.0007000000","","","0.00000000000000","0.00150537630000","","","0.00150537630000","0.0007000000","0.00150537630000","","","","",""
"DHS","CBP - Hurricane Sandy","2016","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2017","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2018","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2019","","","","","","","","","","","","","","","","","","","","","",""
"DHS","CBP - Hurricane Sandy","2020","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Health and Medical Readiness","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Health and Medical Readiness","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Integrated Operations","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Integrated Operations","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Customs and Border Protection","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Cybersecurity and Infrastructure Security Agency","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2012","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2013","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2014","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2015","","","","","0.0470000000","","0.0000000000","0.0000000000","","","0.00000000000000","0.00000000000000","","","0.00000000000000","0.0000000000","0.00000000000000","","","","",""
"DHS","DNDO - Hurricane Sandy","2016","","","","","0.0600000000","","0.0000000000","0.0000000000","","","0.00000000000000","0.00000000000000","","","0.00000000000000","0.0000000000","0.00000000000000","","","","",""
"DHS","DNDO - Hurricane Sandy","2017","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2018","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2019","","","","","","","","","","","","","","","","","","","","","",""
"DHS","DNDO - Hurricane Sandy","2020","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - American Red Cross","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - American Red Cross","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - American Red Cross - Disaster Supplemental Funds","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - American Red Cross - Disaster Supplemental Funds","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2004","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2005","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2006","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2007","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2008","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2009","","","","","505.0000000000","","","","","","","","","","0.04554455450000","23.0000000000","0.04554455450000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2010","","","","","429.0000000000","","","","","","","","","","0.06319347320000","27.1100000000","0.06319347320000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2011","","","","","385.0000000000","","","","","","","","","","0.05142857140000","19.8000000000","0.05142857140000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2012","","","","","471.0000000000","","","","","","","","","","0.01613588110000","7.6000000000","0.01613588110000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2013","","","","","425.0000000000","","","","","","","","","","0.01082352940000","4.6000000000","0.01082352940000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2014","","","","","336.0000000000","","","","","","","","","","0.00096726190000","0.3250000000","0.00096726190000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2015","","","","","224.9000000000","","1.4400000000","0.0000000000","","","0.00640284570000","0.00000000000000","","","0.00640284570000","1.4400000000","0.00640284570000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2016","","","","","270.9100000000","","2.2900000000","0.0000000000","","","0.00845299180000","0.00000000000000","","","0.00845299180000","2.2900000000","0.00845299180000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2017","","","","","299.1566000000","","0.2581000000","0.0000000000","","","0.00086275880000","0.00000000000000","","","0.00086291860000","0.2581477800","0.00086291860000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2018","","","","","306.4698000000","","4.0576000000","0.0000000000","","","0.01323980370000","0.00000000000000","","","0.01323980370000","4.0576000000","0.01323980370000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2019","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2020","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Case Management","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Case Management","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","2021","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","2022","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2012","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2013","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2014","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2015","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2016","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2017","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2018","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2019","","","","","","","","","","","","","","","","","","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2020","2017-10-01","2018-09-30","0.95","   +/- 2.82  ","94.3776317200","0.0000000000","0.0000000000","0.0000000000","8.8084604600","0.0000000000","0.00000000000000","0.00000000000000","0.09333207770000","0.00000000000000","0.00000000000000","8.8084604600","0.09333207770000","","","","",""
"DHS","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds","2021","2018-10-01","2019-09-01",">90%","0.3809","18.6897300000","0.6623700000","0.0000000000","0.0000000000","0.0076300000","0.6623700000","0.00000000000000","0.00000000000000","0.00040824560000","0.03544031940000","0.03544031940000","0.6700000000","0.03584856500000","","0.9335000000","0.0002700000","0.0231000000","0.02503481520000"
