"Agency","Last_Risk_Assessment","Program_Name"
"HHS","2023","Administration for Children and Families (ACF) - Title IV-E Prevention Program"
"HHS","2022","Administration for Children and Families (ACF) - Title V Sexual Risk Avoidance Education Program (Discretionary Grants)"
"HHS","2022","Administration for Children and Families (ACF) - Title V State Sexual Risk Avoidance Education (Title V State SRAE) Program"
"HHS","2022","Administration for Children and Families (ACF) - Transitional Living for Homeless Youth"
"HHS","2024","Administration for Children and Families (ACF) - Tribal Maternal, Infant, and Early Childhood Home Visiting"
"HHS","2024","Administration for Children and Families (ACF) - Unaccompanied Alien Children Program"
"HHS","2024","Administration for Community Living (ACL) - Assistive Technology Programs"
"HHS","2023","Administration for Community Living (ACL) - Developmental Disabilities (DD) Council Formula Program"
"HHS","2024","Administration for Community Living (ACL) - Independent Living Programs"
"HHS","2023","Administration for Community Living (ACL) - Nutrition Services Incentive Program (NSIP) Formula Program"
"HHS","2023","Administration for Community Living (ACL) - State Aging Formula Programs"
"HHS","2023","Administration for Strategic Preparedness and Response (ASPR) - Office of Preparedness Programs Health Care Readiness"
"HHS","2023","Administration for Strategic Preparedness and Response (ASPR) - Office of Preparedness Programs Security and Intelligence"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Community Mitigation and Recovery"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs National Disaster Medical System"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Regional Response"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Response Logistics"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile Logistics"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile Management and Business Operations"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile National Readiness and Response"
"MCC","2023","Administrative Expenses - Millennium Challenge Corporation"
"NEH","2024","Administrative Funds (210)"
"NARA","2023","Administrative Overhead"
"SSA","2024","Administrative Payments - Social Security Administration"
"DOJ","2023","Administrative, Technology, and Other"
"ED","2024","Adult Education - Basic Grants to States"
"NASA","2023","Advanced Air Vehicles Program (AAVP)"
"NASA","2023","Advanced Cislunar and Surface Capabilities"
"NASA","2023","Advanced Exploration Systems (AES)"
"NASA","2023","Aerosciences Evaluation and Test Capabilities (AETC) Program"
"FCC","2023","Affordable Connectivity Program (ACP)"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Medical Expenditure Panel Survey"
"HHS","2022","Agency for Healthcare Research and Quality (AHRQ) - Program Support"
"HHS","2023","Agency for Healthcare Research and Quality (AHRQ) - Research on Health Costs, Quality, and Outcomes"
"NASA","2023","Agency Management"
"NARA","2023","Agency Services"
"NASA","2023","Agency Tech Authority"
"DOI","2024","Aging Infrastructure Account, Bureau of Reclamation, Interior - BIL"
"USDA","2024","Agricultural Marketing Service (AMS) Commodity Purchase Program"
"USDA","2024","Agricultural Marketing Service (AMS) Grants Program"
"USDA","2024","Agricultural Marketing Service (AMS) Salaries and Expenses"
"USDA","2023","Agriculture Research Service (ARS) Buildings and Facilities"
"NASA","2023","Airspace Operations and Safety Program"
"ED","2022","Alaska Native Educational Programs"
"VA","2024","Alcohol and Drug Treatment Rehabilitation"
"TREASURY","2023","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico"
"TREASURY","2024","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses"
"STATE","2023","American Compensation"
"ED","2024","American Indian Vocational Rehabilitation Services"
"ED","2022","American Printing House for the Blind"
"NEH","2023","American Rescue Plan (ARP) Definite Program Fund (227)"
"CNCS","2021","AmeriCorps National Civilian Community Corps (NCCC)"
"CNCS","2022","AmeriCorps State and National"
"CNCS","2022","AmeriCorps State Service Commission Grants"
"CNCS","2022","AmeriCorps Volunteers in Service to America (VISTA)"
"USDA","2024","Animal and Plant Health Inspection Service (APHIS) Cooperative Agreements"
"USDA","2024","Animal and Plant Health Inspection Service (APHIS) Indemnity Program"
"USDA","2024","Animal and Plant Health Inspection Service (APHIS) Salaries and Expenses"
"USDA","2024","Animal and Plant Health Inspection Service (APHIS) Trust Funds"
"NASA","2023","Applied Sciences"
"ED","2022","Arts in Education"
"STATE","2022","Assessed Contributions"
"DOI","2022","Assistance to Territories, Insular Affairs, Interior"
"GSA","2024","Assisted Acquisition Services (AAS)"
"NASA","2023","Astrophysics Explorer"
"NASA","2023","Astrophysics Research"
"GSA","2021","Audit Contracts and Contract Administration"
"VA","2023","Automobile Adaptive Equipment"
"STATE","2022","Aviation, Anticrime, Interdiction and Related Programs"
"PBGC","2024","Benefit Payments"
"DOE","2024","Benefits - Payroll"
"DOE","2024","Benefits - Travel"
"NASA","2023","Biological and Physical Sciences (BPS)"
"GSA","2024","Building Operations"
"DOC","2024","Bureau of Economic Analysis (BEA)"
"TREASURY","2022","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund"
"DOC","2023","Bureau of Industry and Security (BIS)"
"DOC","2023","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement"
"DOC","2024","Bureau of Industry and Security (BIS)-Dual Use Export Administration and Enforcement"
"DOL","2022","Bureau of Labor Statistics - Compensation and Working Conditions"
"DOL","2023","Bureau of Labor Statistics - Executive Direction and Staff Services"
"DOL","2022","Bureau of Labor Statistics - Labor Force Statistics"
"DOL","2023","Bureau of Labor Statistics - Prices and Cost of Living"
"DOL","2023","Bureau of Labor Statistics - Productivity and Technology"
"DOL","2023","Bureau of Labor Statistics- Headquarters Relocation"
"DOI","2022","California Bay-Delta Restoration, Bureau of Reclamation, Interior"
"STATE","2022","Capital and Real Property Acquisitions Programs"
"ED","2024","Career and Technical Education - Basic Grants to States"
"ED","2022","Career and Technical Education - Grants to Native Americans and Alaska Natives"
"VA","2024","Caregiver Support"
"EXIM","2023","Cash-control Disbursements"
"HHS","2021","CDC Office of Operations"
"DOC","2023","Census Bureau"
"DOC","2024","Census Bureau - Current Demographic Statistics"
"DOC","2024","Census Bureau - Current Economic Statistics"
"DOC","2024","Census Bureau - Decennial Census"
"DOC","2023","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems"
"DOC","2023","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Data Ingest and Collection for the Enterprise"
"DOC","2023","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Data Lake"
"DOC","2022","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services"
"DOC","2024","Census Bureau - Enterprise Data Caputre and Dissemination System (EDCADS)- Enterprise Dissemination Services"
"DOC","2023","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration"
"DOC","2024","Census Bureau - Geographic Support"
"DOC","2024","Census Bureau - Periodic Economic Statistics"
"DOC","2022","Census Bureau - State Children's Health Insurance Program"
"DOC","2022","Census Bureau - Survey of Program Dynamics"
"DOC","2022","Census Bureau - Working Capital Fund"
"NASA","2021","Center Engineering Safety & Operations"
"NASA","2023","Center Management and Operations"
"HHS","2023","Centers for Disease Control and Prevention (CDC) - Global Health Center"
"HHS","2022","Centers for Disease Control and Prevention (CDC) - National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Environmental Health (NCEH)/Agency for Toxic Substances and Disease Registry (ATSDR)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Health Statistics (NCHS)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for HIV, Viral Hepatitis, STD, and TB Prevention"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Immunization and Respiratory Diseases (NCIRD)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Injury Prevention and Control (NCIPC)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center on Birth Defects and Developmental Disabilities (NCBDDD)"
"HHS","2023","Centers for Disease Control and Prevention (CDC) - National Institute for Occupational Safety and Health (NIOSH)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Science"
"HHS","2021","Centers for Disease Control and Prevention (CDC) Office of Readiness and Response"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part A)"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part B)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Consolidated Appropriations Act of 2021 Implementation Fund"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ESRD Networks"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Exchange Program Integrity"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Federal Exchange Operations"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Home Health Service Prior Authorization"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Maryland Total Cost of Care (Benefits)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Adult Quality Measures"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Operations Anomaly"
"HHS","2022","Centers for Medicare & Medicaid Services (CMS) - Medicare-Medicaid Coordination"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Navigator Grants"
"HHS","2022","Centers for Medicare & Medicaid Services (CMS) - Primary Care First Model Options"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Private Insurance Innovation Waivers"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Program Operations (Medicare Fee-for-Service)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Administration"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Beneficiary and Family Centered Care"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Clinical Quality Improvement"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - SNF Infection Control Support"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Support Contracts"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Measure Endorsement"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Research (Medicare Fee-for-Service)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Grants to States for Medicaid)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Medicare Fee-for-Service)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Temporary High Risk Health Insurance Pool Program"
"HHS","2021","Centers for Medicare & Medicaid Services (CMS) Medicare Fee-for-Service (FFS) - Accelerated and Advance Payment Program"
"HHS","2021","Centers for Medicare & Medicaid Services (CMS) Quality Activities  (Medicare Fee-for-Service)"
"DOI","2022","Central Utah Project Completion Account - Recovery Act, Bureau of Reclamation, Interior"
"DOI","2022","Central Valley Project Restoration Fund, Bureau of Reclamation, Interior"
"NEH","2024","Challenge Indefinite Funds-Restricted (255)"
"TVA","2024","Charge Card Program - Tennessee Valley Authority "
"ED","2022","Charter Schools"
"ED","2022","Child Care Access Means Parents in School"
"DOI","2022","Child Care Entitlement to States, Administration for Children and Families, Health and Human Services for Bureau of Indian Affairs, Interior"
"STATE","2022","Citizen Exchange Program"
"VA","2023","Civilian Health and Medical Program of the VA (CHAMPVA)"
"DOD","2024","Civilian Pay – Department of Air Force (DAF)"
"DOD","2024","Civilian Pay – Navy"
"EPA","2024","Clean School Bus"
"EPA","2023","Clean Water State Revolving Fund (CWSRF)"
"VA","2022","Clothing Allowance"
"DOI","2022","Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation, Interior"
"NASA","2023","Commercial Crew Program"
"NASA","2023","Commercial Low Earth Orbit (LEO) Development Program"
"DOD","2023","Commercial Pay - U.S. Army Corps of Engineers (USACE)"
"NRC","2024","Commercial Payments - Nuclear Regulatory Commission"
"EPA","2023","Commodities - Environmental Protection Agency"
"USDA","2023","Commodity Credit Corporation (CCC) Administrative Contracts"
"USDA","2022","Commodity Credit Corporation (CCC) Agriculture Wool Apparel Manufacturers Trust Fund"
"USDA","2023","Commodity Credit Corporation (CCC) Conservation Reserve Program (CRP)"
"USDA","2021","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)"
"USDA","2023","Commodity Credit Corporation (CCC) Dairy Margin Coverage Program (DMC)"
"USDA","2023","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)"
"USDA","2023","Commodity Credit Corporation (CCC) Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program (ELAP)"
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Grain Storage Facility Program"
"USDA","2023","Commodity Credit Corporation (CCC) Emergency Relief Program (ERP)"
"USDA","2023","Commodity Credit Corporation (CCC) Farm Storage Facility Loan (FSFL)"
"USDA","2022","Commodity Credit Corporation (CCC) Food for Progress Program"
"USDA","2023","Commodity Credit Corporation (CCC) Livestock Indemnity Program (LIP)"
"USDA","2022","Commodity Credit Corporation (CCC) Market Facilitation Program (MFP)"
"USDA","2023","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)"
"USDA","2024","Commodity Credit Corporation (CCC) Marketing Programs"
"USDA","2022","Commodity Credit Corporation (CCC) Pima Agriculture Cotton Trust Fund"
"USDA","2022","Commodity Credit Corporation (CCC) Public Law 480"
"USDA","2024","Commodity Credit Corporation (CCC) Tree Assistance Program (TAP)"
"USDA","2022","Commodity Credit Corporation Seafood Trade Relief Program (STRP)"
"NASA","2023","Communications Services"
"TREASURY","2024","Community Development Financial Institutions - Emergency Support Program"
"TREASURY","2023","Community Development Financial Institutions Fund - Capital Magnet Fund"
"TREASURY","2024","Community Development Financial Institutions Fund - CDFI BGP Financing Fund"
"TREASURY","2022","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend"
"SBA","2022","Community Navigator Pilot Program"
"HUD","2023","Community Planning and Development - Capacity Building"
"HUD","2023","Community Planning and Development - Community Development Block Grant - Disaster Recovery Assistance - Sandy"
"HUD","2024","Community Planning and Development - Community Development Block Grants"
"HUD","2024","Community Planning and Development - Community Development Fund - Congressional Earmarks"
"HUD","2022","Community Planning and Development - Disaster Recovery Assistance (Louisiana, Texas, West Virginia, Hurricane IKE, Other Disasters)"
"HUD","2022","Community Planning and Development - HOME Investment Partnerships Program"
"HUD","2023","Community Planning and Development - Homeless Assistance Grants"
"HUD","2022","Community Planning and Development - Housing Opportunities for Persons with AIDS"
"HUD","2024","Community Planning and Development - Housing Trust Fund"
"HUD","2023","Community Planning and Development - Neighborhood Stabilization Program"
"HUD","2024","Community Planning and Development - Project Based Section 8 (Renewal of Expiring Section 8 Mod Rehab Single Room Occupancy)"
"HUD","2024","Community Planning and Development - Self-Help Homeownership Opportunity Program"
"MCC","2023","Compact Assistance"
"MCC","2023","Compact Development Funding"
"DOI","2022","Compact of Free Association, Insular Affairs, Interior"
"VA","2022","Compensated Work Therapy"
"VA","2024","Compensation"
"ED","2022","Comprehensive Centers"
"ED","2022","Comprehensive Literacy Development"
"SBA","2023","Congressional Grants"
"ED","2021","Consolidated Grant to the Outlying Areas"
"STATE","2022","Construction"
"GSA","2024","Construction and Acquisition of Facilities"
"DOI","2022","Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"DOI","2024","Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL"
"DOI","2023","Construction, National Park Service, Interior - Disaster Supplement 22XP10395H, 23XP10395H"
"DOI","2022","Construction, United States Fish and Wildlife Service, Interior - DISASTER SUPPLEMENTAL APPROP 23XF1612CE"
"STATE","2024","Consular and Border Security Programs"
"STATE","2024","Consular Information Technology and Security"
"DOI","2022","Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"PBGC","2022","Contractor Payments"
"EPA","2023","Contracts - Environmental Protection Agency"
"NSF","2024","Contracts and Individual Payments"
"ED","2024","Contracts Management"
"DOI","2022","Contribution for Annuity Benefits, National Park Service, Interior"
"DOI","2022","Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Cooperative Endangered Species Conservation Fund, U.S. Fish and Wildlife Service, Interior"
"NASA","2023","Cosmic Origins"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development"
"VA","2023","COVID-19 Office of Information & Technology"
"FCC","2023","COVID-19 Telehealth"
"VA","2022","COVID-19 VA Wide Payroll"
"VA","2023","COVID-19 Veterans Benefits Administration (VBA) General Operating Expense"
"VA","2022","COVID-19 Veterans Health Administration (VHA) Supplemental Disbursements"
"SBA","2021","COVID-Economic Injury Disaster Loan (EIDL)"
"ED","2021","Credit Enhancement for Charter School Facilities"
"ED","2022","Credit Programs"
"NASA","2023","Crew and Cargo Program"
"DHS","2024","Cybersecurity and Infrastructure Security Agency (CISA) - All Other"
"DHS","2024","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll"
"ED","2021","DC Opportunity Scholarship Program"
"DFC","2024","Debt Financing Program "
"USDA","2023","Department Administration (DA) Agriculture Buildings and Facilities"
"DOL","2024","Department of Labor - Departmental Management"
"DOL","2024","Department of Labor - Office of Inspector General"
"TREASURY","2021","Departmental Offices - Air Carrier Worker Support"
"TREASURY","2023","Departmental Offices - Contributions of the International Monetary Fund Facilities and Trust Funds "
"TREASURY","2024","Departmental Offices - Coronavirus Capital Projects Fund"
"TREASURY","2022","Departmental Offices - Coronavirus Relief Fund"
"TREASURY","2024","Departmental Offices - Cybersecurity Enhancement Account"
"TREASURY","2021","Departmental Offices - Economic Stabilization Direct Loan Financing"
"TREASURY","2022","Departmental Offices - Economic Stabilization Program"
"TREASURY","2023","Departmental Offices - Emergency Capital Investment Fund"
"TREASURY","2022","Departmental Offices - Emergency Rental Assistance"
"TREASURY","2021","Departmental Offices - Exchange Stabilization Fund"
"TREASURY","2022","Departmental Offices - Federal Research Fund"
"TREASURY","2024","Departmental Offices - Homeowners Assistance Fund"
"TREASURY","2023","Departmental Offices - International Affairs Technical Assistance"
"TREASURY","2024","Departmental Offices - Local Assistance and Tribal Consistency Fund"
"TREASURY","2022","Departmental Offices - Office of Terrorism and Financial Intelligence"
"TREASURY","2022","Departmental Offices - Pandemic Relief for Aviation Workers"
"TREASURY","2022","Departmental Offices - Salaries and Expenses"
"TREASURY","2023","Departmental Offices - State Small Business Credit Initiative"
"TREASURY","2022","Departmental Offices - Transportation Services Economic Relief"
"TREASURY","2024","Departmental Offices - Treasury Forfeiture Fund"
"DOI","2022","Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, National Park Service, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, U.S. Geological Survey, Interior"
"VA","2023","Dependency and Indemnity Compensation"
"STATE","2023","Diplomatic and Support Programs"
"STATE","2022","Diplomatic Programs, Diplomatic Policy and Support"
"STATE","2022","Diplomatic Programs, Other Operations Programs"
"STATE","2022","Diplomatic Programs, Terrorism Related"
"ED","2022","Disability Innovation Fund (DIF)"
"GSA","2024","Disaster Emergency Funds"
"EPA","2021","Disaster Relief - Hurricane Sandy Fund (Sandy)"
"NASA","2023","Disaster Relief Appropriation"
"NASA","2023","Discovery"
"SEC","2022","Disgorgements - Securities and Exchange Commission"
"TREASURY","2022","District of Columbia (DC) Pensions - DC Federal Pension Fund"
"TREASURY","2022","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund"
"USAGM","2023","Domestic Payroll"
"DOI","2022","Donations, National Park Service, Interior"
"USAID","2024","DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)"
"USAID","2024","DR.2 Democracy, Human Rights and Governance/Good Governance"
"USAID","2024","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building"
"USAID","2024","DR.4 Democracy, Human Rights and Governance/Civil Society"
"USAID","2024","DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information"
"USAID","2024","DR.6 Democracy, Human Rights and Governance/Human Rights"
"EPA","2023","Drinking Water State Revolving Fund (DWSRF)"
"MCC","2023","Due Diligence"
"NASA","2023","Early Stage Innovation (ESI) and Partnerships"
"NASA","2023","Earth Science Data Systems (ESDS)"
"NASA","2023","Earth Science Research"
"NASA","2023","Earth Science Technology"
"NASA","2023","Earth System Science Pathfinder"
"NASA","2023","Earth Systematic Missions"
"DOC","2021","Economic Development Administration (EDA)"
"DOC","2022","Economic Development Administration (EDA) - Grants"
"DOC","2021","Economic Development Administration (EDA) - Salaries and Expenses"
"DOC","2024","Economic Development Adminsitration (EDA) - Salaries and Expenses "
"STATE","2024","Economic Support Fund"
"VA","2021","Education (Reporting Fees)"
"DOI","2022","Education Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"ED","2022","Education for Homeless Children and Youth"
"ED","2022","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)"
"ED","2022","Education Research, Development and Dissemination"
"VA","2024","Education Service (Chapter 1606)"
"VA","2024","Education Service (Chapter 33)"
"VA","2023","Education Service (State Approving Agencies)"
"VA","2024","Education Service Survivor and Dependents Education Assistance (Chapter 35)"
"ED","2021","Education Stabilization Fund"
"STATE","2023","Educational Programs"
"USAID","2024","EG.1 Economic Growth/Macroeconomic Foundation for Growth"
"USAID","2024","EG.2 Economic Growth/Trade and Investment"
"USAID","2024","EG.3 Economic Growth/Agriculture"
"USAID","2024","EG.4 Economic Growth/Financial Sector"
"USAID","2024","EG.5 Economic Growth/Private Sector Productivity"
"USAID","2024","EG.6 Economic Growth/Workforce Development"
"USAID","2024","EG.7 Economic Growth/Modern Energy Services"
"USAID","2022","EG.8 Economic Growth/Information and Communications Technology Services"
"EAC","2023","Election Security Grants"
"STATE","2022","Embassy Operations Programs"
"ED","2022","Emergency Assistance to Institutions of Higher Education"
