"Agency","Program_or_Activity","Confirmed_Fraud","Fiscal_Year"
"DHS","FEMA","5.1161723900","2019"
"DHS","FEMA","6.2150000000","2018"
"DHS","FEMA","17.1245423100","2017"
"DHS","FLETC","0.0420000000","2018"
"DHS","FLETC","0.5000000000","2020"
"DHS","ICE","0.0010529700","2020"
"DHS","ICE","0.0420000000","2018"
"DHS","ICE","0.0808919100","2019"
"DHS","Immigration and Customs Enforcement","0.1246000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - CARES Act Funds","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Debit Card","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO)","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Fleet Card","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI)","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Management","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Office of the Assistant Secretary","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Operations & Support - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Payroll","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Procurements, Construction, and Improvement - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Purchase Card","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Servicewide Agreements","0.0000000000","2021"
"DHS","Immigration and Customs Enforcement (ICE) - Travel","0.0000000000","2021"
"DHS","Management Directorate","6.0680000000","2021"
"DHS","Management Directorate (MGMT) - Federal Protective Service","0.0000000000","2021"
"DHS","Management Directorate (MGMT) - Federal Protective Service","0.0000000000","2021"
"DHS","Management Directorate (MGMT) - Management & Administration","0.0000000000","2021"
"DHS","NPPD","0.3720000000","2018"
"DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations","0.0000000000","2021"
"DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Office of Intelligence, Analysis, and Operations","0.0000000000","2021"
"DHS","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","0.0000000000","2021"
"DHS","Office of the Inspector General","0.0000000000","2021"
"DHS","Science and Technology Directorate","0.0000000000","2021"
"DHS","Science and Technology Directorate (S&T) - Research & Development","0.0000000000","2021"
"DHS","Science and Technology Directorate (S&T) - Research & Development","0.0000000000","2021"
"DHS","Transportation and Security Administration","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Mission Support","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","Transportation Security Administration (TSA) - Research & Development","0.0000000000","2021"
"DHS","TSA","0.0008000000","2020"
"DHS","TSA","0.0080920000","2019"
"DHS","TSA","8.3983364680","2017"
"DHS","TSA","14.5380000000","2018"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","0.0000000000","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","0.0000000000","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","0.0000000000","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","0.0000000000","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","0.0000000000","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","0.0000000000","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Administration","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Contribution for Annuity Benefits","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Field Operations","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Procurement, Construction, & Improvement","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Protection","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Research & Development","0.0000000000","2021"
"DHS","U.S. Secret Service (USSS) - Training","0.0000000000","2021"
"DHS","United States Citizenship and Immigration Services","0.0000000000","2021"
"DHS","United States Coast Guard","0.0406000000","2021"
"DHS","United States Coast Guard (USCG) - Aviation Logistics Command","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Aviation Logistics Command - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Coast Guard Boat Safety","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R)","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R) - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Gift Fund","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Maritime Oil Spill Program","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Operations & Support","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Payroll: Civilian","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Payroll: Military","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Procurements, Construction, and Improvement - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Research & Development","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Reserve Training","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Retired Pay","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Supply Fund","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Surface Forces Logistics Command","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Surface Forces Logistics Command - Disaster Supplemental Funds","0.0000000000","2021"
"DHS","United States Coast Guard (USCG) - Yard Fund","0.0000000000","2021"
"DHS","United States Secret Service","0.0000000000","2021"
"DHS","USCG","0.5450000000","2019"
"DHS","USCG","2.2060000000","2018"
"DHS","USCIS","0.0228288500","2019"
"DHS","USCIS","0.0469650000","2020"
"DHS","USCIS","0.5457216000","2017"
"DHS","USSS","0.0080000000","2018"
"DNFSB","","0.0000000000","2022"
"DNFSB","","0.0000000000","2023"
"DNFSB","","0.0000000000","2024"
"DOC","","0.0000000000","2024"
"DOC","","4.1000000000","2022"
"DOC","","13.9800000000","2023"
"DOC","Bureau of Economic Analysis (BEA)","0.0000000000","2021"
"DOC","Bureau of Industry and Security (BIS)","0.0000000000","2021"
"DOC","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement","0.0000000000","2021"
"DOC","Census","1.1100000000","2019"
"DOC","Census Bureau","0.0000000000","2021"
"DOC","Census Bureau - Current Demographic Statistics","0.0000000000","2021"
"DOC","Census Bureau - Current Economic Statistics","0.0000000000","2021"
"DOC","Census Bureau - Decennial Census","0.0000000000","2021"
"DOC","Census Bureau - EDCADS-Census Enterprise Data Collection and Processing","0.0000000000","2021"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","0.0000000000","2021"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","0.0000000000","2021"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services","0.0000000000","2021"
"DOC","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","0.0000000000","2021"
"DOC","Census Bureau - Geographic Support","0.0000000000","2021"
"DOC","Census Bureau - Periodic Economic Statistics","0.0000000000","2021"
"DOC","Census Bureau - State Children's Health Insurance Program","0.0000000000","2021"
"DOC","Census Bureau - Survey of Program Dynamics","0.0000000000","2021"
"DOC","Census Bureau - Working Capital Fund","0.0000000000","2021"
"DOC","Department of Commerce","1.1900000000","2018"
"DOC","DOC Total","10.4600000000","2017"
"DOC","Economic Development Administration (EDA)","0.2300000000","2021"
"DOC","Economic Development Administration (EDA) - Grants","0.0000000000","2021"
"DOC","Economic Development Administration (EDA) - Grants","0.0000000000","2021"
"DOC","Economic Development Administration (EDA) - Salaries and Expenses","0.0000000000","2021"
"DOC","EDA","0.4700000000","2019"
"DOC","Internation Trade Administration (ITA)","0.2300000000","2021"
"DOC","International Trade Administration (ITA) - Enforcement and Compliance","0.0000000000","2021"
"DOC","International Trade Administration (ITA) - Executive Direction and Administration","0.0000000000","2021"
"DOC","International Trade Administration (ITA) - Global Markets","0.0000000000","2021"
"DOC","International Trade Administration (ITA) - Industry and Analysis","0.0000000000","2021"
"DOC","Minority Business Development Agency (MBDA)","0.0000000000","2021"
"DOC","Minority Business Development Agency (MBDA)","0.3179000000","2020"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy","0.0000000000","2021"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","0.0000000000","2021"
"DOC","National Institute of Standards and Technology (NIST)","0.0000000000","2021"
"DOC","National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders","0.0000000000","2021"
"DOC","National Institute of Standards and Technology (NIST) - Grants","0.0000000000","2021"
"DOC","National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous","0.0000000000","2021"
"DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","0.0000000000","2021"
"DOC","National Institute of Standards and Technology (NIST) - Purchase Card","0.0000000000","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","0.1000000000","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","0.0000000000","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","0.0000000000","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","0.0000000000","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","0.0000000000","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","0.0000000000","2021"
"DOC","National Technical Information Service (NTIS)","0.0000000000","2021"
"DOC","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA)","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - First Responder Network Authority","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program","0.0000000000","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - State and Local Grant Implementation Program","0.0000000000","2021"
"DOC","NTIA","0.2400000000","2019"
"DOC","NTIA - Information Infrastructure Grants","0.0000000000","2021"
"DOC","Office of Inspector General (OIG) - Department of Commerce","0.0000000000","2021"
"DOC","Office of the Secretary (OS)","0.0000000000","2021"
"DOC","Office of the Secretary (OS) - Departmental Management","0.0000000000","2021"
"DOC","U.S. Patent and Trademark Office","0.0000000000","2021"
"DOC","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","0.0000000000","2021"
"DOC","USPTO","0.1200000000","2019"
"DOD","","810.8800000000","2022"
"DOD","","2371.6400000000","2023"
"DOD","","2371.6400000000","2024"
"DOD","Administrative","8.7300000000","2019"
"DOD","Administrative","48.2500000000","2018"
"DOD","Administrative","161.7306610000","2020"
"DOD","Administrative","293.2348500000","2017"
"DOD","Civil","752.3316420000","2017"
"DOD","Civil","810.4400000000","2019"
"DOD","Civil","910.5700000000","2018"
"DOD","Civil","934.7316460000","2020"
"DOD","Civilian Pay","0.0000000000","2021"
"DOD","Commercial Pay","0.0000000000","2021"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","0.0000000000","2021"
"DOD","Criminal","78.7968900000","2017"
"DOD","Criminal","179.4500000000","2018"
"DOD","Criminal","247.5300000000","2019"
"DOD","Criminal","826.8541760000","2020"
"DOD","DoD Travel Pay","0.0000000000","2021"
"DOD","Military Health Benefits - Healthcare","0.0000000000","2021"
"DOD","Military Pay - Army","0.0000000000","2021"
"DOD","Military Pay - Department of Air Force","0.0000000000","2021"
"DOD","Military Pay - Marine Corps","0.0000000000","2021"
"DOD","Military Pay - Navy","0.0000000000","2021"
"DOD","Military Retirement","0.0000000000","2021"
"DOD","Travel Pay - U.S. Army Corps of Engineers (USACE)","0.0000000000","2021"
"DOE","","0.4600000000","2022"
"DOE","","2.3900000000","2023"
"DOE","","3.3000000000","2024"
"DOE","Benefits - Payroll","0.0000000000","2019"
"DOE","Benefits - Payroll","0.0000000000","2020"
"DOE","Benefits - Payroll","0.0000000000","2021"
"DOE","Benefits - Payroll","0.0090000000","2018"
"DOE","Benefits - Travel","0.0000000000","2019"
"DOE","Benefits - Travel","0.0000000000","2020"
"DOE","Benefits - Travel","0.0000000000","2021"
"DOE","Benefits - Travel","0.0400000000","2018"
"DOE","Contracts","12.2100000000","2017"
"DOE","Financial Assistance Awards","0.1300000000","2019"
"DOE","Financial Assistance Awards","0.1600000000","2021"
"DOE","Financial Assistance Awards","0.2700000000","2018"
"DOE","Financial Assistance Awards","1.0300000000","2017"
"DOE","Financial Assistance Awards","8.0400000000","2020"
"DOE","Loans","0.0000000000","2018"
"DOE","Loans","0.0000000000","2019"
"DOE","Loans","0.0000000000","2020"
"DOE","Loans","0.0000000000","2021"
"DOE","Other - Department of Energy","0.0250000000","2017"
"DOE","Other - Department of Energy","0.0500000000","2021"
"DOE","Other - Department of Energy","0.1700000000","2018"
"DOE","Other - Department of Energy","0.2500000000","2020"
"DOE","Other - Department of Energy","0.3600000000","2019"
"DOE","Vendors/Contracts","0.9500000000","2021"
"DOE","Vendors/Contracts","6.1700000000","2019"
"DOE","Vendors/Contracts","6.5400000000","2020"
"DOE","Vendors/Contracts","138.3500000000","2018"
"DOI","","0.1500000000","2024"
"DOI","","0.8600000000","2023"
"DOI","","1.3200000000","2022"
"DOI","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 22XS501520, 23XS501520","0.0000000000","2021"
"DOI","Acquisition and Property Management","3.7300000000","2020"
"DOI","Acquisition and Property Mangement","0.1100000000","2019"
"DOI","Assistance to Territories, Insular Affairs, Interior","0.0000000000","2021"
"DOI","Bureau of Indian Affairs","0.0400000000","2019"
"DOI","Bureau of Indian Affairs","0.0800000000","2020"
"DOI","Bureau of Indian Affairs","0.2987000000","2018"
"DOI","Bureau of Indian Affairs","3.4192512300","2017"
"DOI","Bureau of Indian Education","0.0100000000","2020"
"DOI","Bureau of Indian Education","0.0206541500","2017"
"DOI","Bureau of Land and Management","1.4500000000","2019"
"DOI","Bureau of Land and Management","1.5700000000","2020"
"DOI","Bureau of Land Management","1.2584066600","2017"
"DOI","Bureau of Reclamation","0.0612000000","2018"
"DOI","California Bay-Delta Restoration, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Centennial Challenge, National Park Service, Interior","0.0000000000","2021"
"DOI","Central Utah Project Completion Account - Recovery Act, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Central Valley Project Restoration Fund, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Childcare Entitlement to States, Health and Human Services","0.0000000000","2021"
"DOI","Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Compact of Free Association, Insular Affairs, Interior","0.0000000000","2021"
"DOI","Concessioner Improvement Accounts, National Park Service, Interior","0.0000000000","2021"
"DOI","Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior","0.0000000000","2021"
"DOI","Construction, National Park Service, Interior - Disaster Supplement 22XP10395H, 23XP10395H","0.0000000000","2021"
"DOI","Construction, United States Fish and Wildlife Service, Interior - DISASTER SUPPLEMENTAL APPROP 23XF1612CE","0.0000000000","2021"
"DOI","Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","0.0000000000","2021"
"DOI","Contribution for Annuity Benefits, National Park Service, Interior","0.0000000000","2021"
"DOI","Cooperative Endangered Species Conservation Fund, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Departmental Offices","0.0211951100","2017"
"DOI","Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior","0.0000000000","2021"
"DOI","Departmental Operations, Office of the Secretary, Interior","0.0000000000","2021"
"DOI","Donations, National Park Service, Interior","0.0000000000","2021"
"DOI","Federal Aid to Wildlife Restoration, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
