"Agency","Program_Name","Fiscal_Year","key","value"
"CNCS","The Foster Grandparent Program (FGP)","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Total Overpayment Amount Recovered","0.5330000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","OP Amt Identified outside of Payment Recapture Audits","0.1640000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","OP Amt Recapture outside of Payment Recapture Audits","0.0416000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Total Overpayment Amount Recovered","0.0416000000"
"CNCS","The Social Innovation Fund (SIF)","2019","OP Amt Identified outside of Payment Recapture Audits","0.2319000000"
"CNCS","The Social Innovation Fund (SIF)","2019","OP Amt Recapture outside of Payment Recapture Audits","0.2319000000"
"CNCS","The Social Innovation Fund (SIF)","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"CNCS","The Social Innovation Fund (SIF)","2019","Total Overpayment Amount Recovered","0.2319000000"
"CPSC","","2024","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"CSOSA","","2023","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"DHS","","2022","OP Amt Identified outside of Payment Recapture Audits","496.3600000000"
"DHS","","2022","OP Amt Recapture outside of Payment Recapture Audits","144.2200000000"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - National Dam Safety Program","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - National Dam Safety Program","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - National Incident Management System","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - National Incident Management System","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Payroll","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Payroll","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","2021","OP Amt Identified outside of Payment Recapture Audits","46.7589000000"
"DHS","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","MGMT","2020","OP Amt Identified outside of Payment Recapture Audits","0.0196805400"
"DHS","MGMT","2020","OP Amt Recapture outside of Payment Recapture Audits","0.0195680400"
"DHS","NPPD","2018","OP Amt Identified outside of Payment Recapture Audits","0.2600000000"
"DHS","NPPD","2018","OP Amt Recapture outside of Payment Recapture Audits","0.2600000000"
"DHS","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","S&T","2019","OP Amt Identified outside of Payment Recapture Audits","0.0123000000"
"DHS","S&T","2019","OP Amt Recapture outside of Payment Recapture Audits","0.0123000000"
"DHS","S&T","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"DHS","S&T","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"DHS","S&T","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"DHS","S&T","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"DHS","S&T","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"DHS","S&T","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"DHS","S&T","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"DHS","S&T","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"DHS","S&T","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"DHS","S&T","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"DHS","S&T","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"DHS","S&T","2019","Total Overpayment Amount Recovered","0.0123000000"
"DHS","S&T","2020","OP Amt Identified outside of Payment Recapture Audits","0.0081416700"
"DHS","S&T","2020","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2021","OP Amt Identified outside of Payment Recapture Audits","0.4040000000"
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2021","OP Amt Recapture outside of Payment Recapture Audits","0.4040000000"
"DHS","United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.0020500000"
"DHS","United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Payroll: Civilian","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Payroll: Civilian","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Supply Fund","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Supply Fund","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","USCIS","2019","OP Amt Identified outside of Payment Recapture Audits","0.9131000000"
"DHS","USCIS","2019","OP Amt Recapture outside of Payment Recapture Audits","0.5882000000"
"DHS","USCIS","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"DHS","USCIS","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"DHS","USCIS","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"DHS","USCIS","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"DHS","USCIS","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"DHS","USCIS","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"DHS","USCIS","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"DHS","USCIS","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"DHS","USCIS","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"DHS","USCIS","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"DHS","USCIS","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"DHS","USCIS","2019","Total Overpayment Amount Recovered","0.5882000000"
"DOC","Bureau(s) to be Selected for Next Payment Recapture Audit(s) of Contracts/Obligations","2017","OP Next FY Recapture Rate Target through Payment Recapture Audit","1.0000000000"
"DOC","Census Bureau","2021","OP Amt Identified outside of Payment Recapture Audits","0.2500000000"
"DOC","Census Bureau","2021","OP Amt Recapture outside of Payment Recapture Audits","0.8000000000"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","Departmental Management - Nonrecurring Expenses Fund","2020","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","Departmental Management - Nonrecurring Expenses Fund","2020","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","Economic Development Administration (EDA)","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","Economic Development Administration (EDA)","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0020000000"
"DOC","National Institute of Standards and Technology (NIST) - Grants","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","National Institute of Standards and Technology (NIST) - Grants","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","OP Amt Identified outside of Payment Recapture Audits","0.2160000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","OP Amt Recapture outside of Payment Recapture Audits","0.2100000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2019","Total Overpayment Amount Recovered","0.2100000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","U.S. Patent and Trademark Office","2017","OP Amt Identified outside of Payment Recapture Audits","0.2920000000"
"DOC","U.S. Patent and Trademark Office","2017","OP Amt Recapture outside of Payment Recapture Audits","0.1950000000"
"DOC","U.S. Patent and Trademark Office","2021","OP Amt Identified outside of Payment Recapture Audits","0.3000000000"
"DOC","U.S. Patent and Trademark Office","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0600000000"
"DOC","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOD","DoD Travel Pay","2019","OP Amt Identified outside of Payment Recapture Audits","0.2092000000"
"DOD","DoD Travel Pay","2019","OP Amt Recapture outside of Payment Recapture Audits","0.0706000000"
"DOD","DoD Travel Pay","2019","OP Amt Identified through Payment Recapture Audits","5.1900000000"
"CNCS","","2022","OP Amt Identified outside of Payment Recapture Audits","0.3500000000"
"CNCS","","2022","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"CNCS","AmeriCorps State and National","2019","OP Amt Identified outside of Payment Recapture Audits","0.8050000000"
"CNCS","AmeriCorps State and National","2019","OP Amt Recapture outside of Payment Recapture Audits","0.7220000000"
"CNCS","AmeriCorps State and National","2019","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"CNCS","AmeriCorps State and National","2019","OP Next FY Recapture Rate Target through Payment Recapture Audit","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Disposition of Funds through FM Improvement Activities","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Disposition of Funds Through Original Purpose","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Disposition of Funds Through Office of Inspector General","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Disposition of Funds Through Returned to Treasury","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Aging of Outstanding OP Identified Remaining Unrecovered","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Aging of Outstanding OP Identified Amt over 1 year","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"CNCS","AmeriCorps State and National","2019","Total Overpayment Amount Recovered","0.7220000000"
"CPSC","Non-Payroll","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"CPSC","Non-Payroll","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","","2024","OP Amt Identified outside of Payment Recapture Audits","75.7723000000"
"DHS","","2024","OP Amt Recapture outside of Payment Recapture Audits","25.3849300000"
"DHS","","2024","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DHS","CBP","2020","OP Amt Identified outside of Payment Recapture Audits","56.9312559600"
"DHS","CBP","2020","OP Amt Recapture outside of Payment Recapture Audits","56.8084629800"
"DHS","Federal Emergency Management Agency","2021","OP Amt Identified outside of Payment Recapture Audits","14.1000000000"
"DHS","Federal Emergency Management Agency","2021","OP Amt Recapture outside of Payment Recapture Audits","21.7000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Case Management - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Disaster Case Management - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Intragovernmental Personnel Act (IPA)","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Intragovernmental Personnel Act (IPA)","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.0176800000"
"DHS","Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Public Assistance","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Public Assistance","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Training Grants","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Training Grants","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET) - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET) - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","ICE","2020","OP Amt Identified outside of Payment Recapture Audits","0.0619609000"
"DHS","ICE","2020","OP Amt Recapture outside of Payment Recapture Audits","0.0083524300"
"DHS","Immigration and Customs Enforcement","2021","OP Amt Identified outside of Payment Recapture Audits","5.6410000000"
"DHS","Immigration and Customs Enforcement","2021","OP Amt Recapture outside of Payment Recapture Audits","5.6410000000"
"DHS","Immigration and Customs Enforcement (ICE) - Debit Card","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","Immigration and Customs Enforcement (ICE) - Debit Card","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","Management Directorate","2021","OP Amt Identified outside of Payment Recapture Audits","0.2550000000"
"DHS","Management Directorate","2021","OP Amt Recapture outside of Payment Recapture Audits","0.2540000000"
"DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.0286180000"
"DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0014580000"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","2021","OP Amt Identified outside of Payment Recapture Audits","0.2581000000"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","2021","OP Amt Recapture outside of Payment Recapture Audits","0.2581000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Retired Pay","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DHS","United States Coast Guard (USCG) - Retired Pay","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DHS","USCG","2020","OP Amt Identified outside of Payment Recapture Audits","6.2740000000"
"DHS","USCG","2020","OP Amt Recapture outside of Payment Recapture Audits","6.1050000000"
"DNFSB","","2024","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOC","Applicable Bureaus for Next Payment Recapture Audit of Department-wide Grants and Other Cooperative Agreements","2017","OP Next FY Recapture Rate Target through Payment Recapture Audit","1.0000000000"
"DOC","Bureau of Industry and Security (BIS)","2020","OP Amt Identified outside of Payment Recapture Audits","0.0000170000"
"DOC","Census Bureau - EDCADS-Census Enterprise Data Collection and Processing","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","Census Bureau - EDCADS-Census Enterprise Data Collection and Processing","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","Census Bureau - Periodic Economic Statistics","2021","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOC","Census Bureau - Periodic Economic Statistics","2021","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOC","Departmental Management - Gifts and Bequests","2020","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
