"End Date","Recorded Date","Agency","Program Name","ActionNumber","ActionTaken","RecoveryMethod","OverpaymentsRecoverPlan","Quarter Year"
"Feb 12 2021  5:03PM","Feb 12 2021  5:03PM","DOD","Commercial Pay","Overpayments #2","Self -Reported Overpayments","Recovery Activity","Continue capturing and reporting self and vendor identified improper payments. If EFT recall fails on an overpayment requiring collection, its input into DCDS and a demand letter is issued to vendor. Vendor returns funds or offset is initiated.","Q1 2021"
"Feb 12 2021  5:15PM","Feb 12 2021  5:15PM","DOD","Military Pay - Army","Overpayments #2","Ensure outstanding debts are tracked and resolved to final collections","Recovery Activity","Collaborating with DFAS during the Mid-Month (MM) and End-of-Month (EOM) Leave and Earnings Statement (LES) reviews are performed to identify, track and ensure debts are created to recoup the overpayments.","Q1 2021"
"Feb 17 2021  2:10PM","Feb 17 2021  2:10PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Overpayments #2","","Recovery Audit","FSA overpayment policy is used to collect payments exceeding their eligibility.","Q1 2021"
"Feb  3 2021  2:07PM","Feb  3 2021  2:07PM","OPM","Federal Retirement Services","Overpayments #3","","","","Q1 2021"
"Feb 11 2021  2:54PM","Feb 11 2021  2:54PM","VA","Pension","Overpayments #3","","","","Q1 2021"
"Feb 11 2021  3:08PM","Feb 11 2021  3:08PM","VA","VA Community Care","Overpayments #3","","","","Q1 2021"
"Feb 11 2021  3:26PM","Feb 11 2021  3:26PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Overpayments #3","Continue development of a lockbox service to provide faster processing and application of remittances.","Recovery Activity","Begin investigating additional electronic remittance channels.","Q1 2021"
"Feb 11 2021  3:52PM","Feb 11 2021  3:52PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Overpayments #3","","","AIPs are notified of any overpayments through RMA's Compliance Activities and Results System (CARS).  They are then tracked, collected, and verified through RMA's accounting system. ","Q1 2021"
"Feb 11 2021  5:32PM","Feb 11 2021  5:32PM","ED","Federal Pell Grant Program","Overpayments #3","FSA also reviews the annual Single Audit Act compliance audits of schools performed by independent auditors to evaluate schoolsâ€™ administration of FSA programs. For deficiencies identified by the auditors, schools are required to develop corrective action plans. FSA reviews and evaluates the effectiveness of schoolsâ€™ corrective actions and mitigation efforts for noted exceptions.
","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from compliance audits and, if/as necessary, pursue collection. ","Q1 2021"
"","","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #1","DOL continues to seek full implementation of the Treasury Offset Program (TOP) by all 53 state UI agencies.  Currently, 49 state UI agencies and DC have implemented TOP for UI overpayments. ","Recovery Activity","ETA will provide technical assistance to states on overpayment recovery methods and best practices and find opportunity to streamline state recovery efforts. ","Q1 2021"
"Jul 22 2022  3:59PM","Jul 22 2022  3:59PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Overpayments #2","","","","Q3 2022"
"Feb 11 2021  5:39PM","Feb 11 2021  5:39PM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #3","FSA also reviews the annual Single Audit Act compliance audits of schools performed by independent auditors to evaluate schoolsâ€™ administration of FSA programs. For deficiencies identified by the auditors, schools are required to develop corrective action plans. FSA reviews and evaluates the effectiveness of schoolsâ€™ corrective actions and mitigation efforts for noted exceptions.","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from compliance audits and, if/as necessary, pursue collection.","Q1 2021"
"Feb 12 2021  9:32AM","Feb 12 2021  9:32AM","DOT","Federal Highway Administration Highway Planning and Construction","Overpayments #3","","","","Q1 2021"
"Feb 12 2021 11:36AM","Feb 12 2021 11:36AM","VA","Purchased Long Term Services and Supports","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  1:48PM","Feb 12 2021  1:48PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #3","Soft Notices","Recovery Activity","The IRS uses informational notices to educate taxpayers on the law and eligibility requirements for AOTC. Taxpayers are informed to file amended returns if the credit was claimed in error or in the incorrect amount.","Q1 2021"
"Feb 12 2021  1:58PM","Feb 12 2021  1:58PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #3","Soft Notices","Recovery Activity","IRS sends letters to alert taxpayers that a qualifying child for the ACTC claimed on their returns had also been claimed by another person. Taxpayers are informed to file amended returns if the credit was claimed in error or in the incorrect amount. ","Q1 2021"
"Feb 12 2021  2:02PM","Feb 12 2021  2:02PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #3","Soft Notices","Recovery Activity","IRS sends letters to alert taxpayers that a qualifying child for the EITC claimed on their returns had also been claimed by another person. Taxpayers are informed to file amended returns if the credit was claimed in error or in the incorrect amount. ","Q1 2021"
"Feb 12 2021  2:31PM","Feb 12 2021  2:31PM","FCC","Universal Service Fund - Lifeline","Overpayments #3","Full launch of all states in the National Verifier in 2020 virtually eliminates the issue.","Recovery Activity","See â€œActions Takenâ€ section regarding resolution of this issue.  ","Q1 2021"
"Feb 12 2021  2:37PM","Feb 12 2021  2:37PM","SBA","7(a) Loan Guarantees Approvals","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  2:44PM","Feb 12 2021  2:45PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  2:53PM","Feb 12 2021  2:53PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  2:59PM","Feb 12 2021  2:59PM","SBA","504 Certified Development Loans Approvals","Overpayments #3","There is a substantial time difference between this approval date and the loan closing.  SBA works extensively with the CDC to mitigate or eliminate improper payment before loan closing.","Recovery Audit","There is no monetary loss on loan approvals. There is a substantial time difference between this approval date and the loan closing.  SBA works extensively with the CDC to mitigate or eliminate improper payment before loan closing.","Q1 2021"
"Feb 12 2021  3:54PM","Feb 12 2021  3:54PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:01PM","Feb 12 2021  4:01PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:08PM","Feb 12 2021  4:08PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:15PM","Feb 12 2021  4:16PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:24PM","Feb 12 2021  4:24PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Overpayments #3","HHS began a medical review project specifically reviewing inpatient claims with a COVID-19 diagnosis that received the 20% increase in payment.","Recovery Activity","HHS believes in a comprehensive approach to prevent overpayments through proactive measures. National prior authorization programs are considered part of the overall recovery strategy, reducing or eliminating the need for recovery activities.","Q1 2021"
"Feb 12 2021  4:29PM","Feb 12 2021  4:29PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:32PM","Feb 12 2021  4:32PM","DOD","Military Pay","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:34PM","Feb 12 2021  4:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Overpayments #3","","","","Q1 2021"
"Feb 12 2021  4:42PM","Feb 12 2021  4:42PM","DOD","Military Health Benefits - Healthcare","Overpayments #3","Contractual requirement for regional private sector care Contractors to recoup unallowable costs.","Recovery Activity","Annual Cost of Healthcare Audit requires the Contractors to recoup unallowable costs. Once the Contractors has recouped unallowable costs for OP2. The other is in the 2nd rebuttal phase of the audit. ","Q1 2021"
"Feb 12 2021  4:51PM","Feb 12 2021  4:51PM","DOD","Military Retirement","Overpayments #3","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","DFAS has a well-established Risk Management framework called i-Control. Specifically, Military Retirement has 29 key internal controls and 26 unique controls to ensure proper execution and or subsequent recoupment of Military Retirement payments. ","Q1 2021"
"Dec  8 2021  7:52PM","Dec  8 2021  7:52PM","SBA","504 Certified Development Loans Approvals","Overpayments #1","N/A.  There is no monetary loss the the federal government in the 504 loan approval program.","","There is no monetary loss on loan approvals. SBA will continue to obtain loan documentation to mitigate or eliminate improper payments.","Q4 2021"
"Feb 12 2021  5:03PM","Feb 12 2021  5:03PM","DOD","Commercial Pay","Overpayments #3","DoD Implementation of PRA Plan","Recovery Activity","The Commercial Pay PRA template is a new requirement in the SoA Guidebook requiring the DoD Components to report quarterly on the actions taken on the identified overpayments. We are continuing the Department PRA Commercial pay working group.","Q1 2021"
"Feb 12 2021  5:11PM","Feb 12 2021  5:11PM","DOD","Military Pay - Department of Air Force","Overpayments #3","Ensure outstanding debts are tracked and resolved to final collections","Recovery Activity","Review outstanding suspended debt reports and metrics to ensure debts are completely collected and subsequently reported. ","Q1 2021"
"Feb 12 2021  5:15PM","Feb 12 2021  5:15PM","DOD","Military Pay - Army","Overpayments #3","Ensure outstanding debts are tracked and resolved to final collections","Recovery Activity","Overpayments identified regardless of the origin are tracked by the Army and DFAS until the debt to the Department has been satisfied. ","Q1 2021"
"Feb 17 2021  2:10PM","Feb 17 2021  2:10PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Overpayments #3","","Recovery Activity","FSA overpayment policy is used to collect payments exceeding their eligibility.","Q1 2021"
"","","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #2","ETA is developing recommendations to states on the methodology for recovering UC benefits, which are held by banks and financial institutions as a result of potentially fraudulent activity ","Recovery Activity","","Q1 2021"
"","","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #3","","","","Q1 2021"
"Apr  8 2021 10:18AM","Apr  8 2021 10:18AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by the Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers.","Q2 2021"
"Feb  3 2021  2:07PM","Feb  3 2021  2:07PM","OPM","Federal Retirement Services","Overpayments #1","","","","Q1 2021"
"Feb 11 2021  2:54PM","Feb 11 2021  2:54PM","VA","Pension","Overpayments #1","Pension uses quality reviews to identify possible duplicates and overpayments. Pension performs quality reviews on randomly selected cases that ensure eligibility determinations, proper case processing, and payment accuracy. ","Recovery Audit","Once a debt has been established, it is referred to Debt Management Center, which pursues the collection of all debts through lump-sum offset from current or future benefit payments or by installment payments agreed upon by the debtor. ","Q1 2021"
"Feb 11 2021  3:08PM","Feb 11 2021  3:08PM","VA","VA Community Care","Overpayments #1","VACC utilizes the Financial Services Center (FSC) to provide detection, prevention, and recovery services. In FY20, VACC payments were included in the FSC review, which totaled $1.1 billion in payments and identified $19.5 million in overpayments.","Recovery Audit","Bill of Collections (BOC) are generated for overpayments of $50 or more. If no response is received from vendor after 45 days, an internal offset is processed to collect from the next issued payment until the BOC is satisfied.","Q1 2021"
"Feb 11 2021  3:26PM","Feb 11 2021  3:26PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Overpayments #1","Provide electronic remittance channels for ease of repayment of programmatic overpayments. In December 2020, Pay.gov was put into production.","Recovery Activity","January 2021 Pay.gov goes live to the public.","Q1 2021"
"Feb 11 2021  3:41PM","Feb 11 2021  3:41PM","SSA","Supplemental Security Income (SSI)","Overpayments #1","Provide electronic remittance channels for ease of repayment of programmatic overpayments. In December 2020, Pay.gov was put into production.","Recovery Activity","January 2021 Pay.gov goes live to the public.","Q1 2021"
"Feb 11 2021  5:32PM","Feb 11 2021  5:32PM","ED","Federal Pell Grant Program","Overpayments #1","ED has established an integrated system of complementary oversight functions to help detect and recover improper payments and ensure compliance by all participating parties. When an improper payment is detected and deemed collectable, FSA establishes an account receivable and pursues collection. For example:  ED establishes receivables related to vendor overpayments.","Recovery Activity","ED will continue to collect monies from vendors against the accounts receivable established and, if/as necessary, pursue collection. ","Q1 2021"
"Feb 11 2021  5:39PM","Feb 11 2021  5:39PM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #1","ED has established an integrated system of complementary oversight functions to help detect and recover improper payments and ensure compliance by all participating parties. When an improper payment is detected and deemed collectable, FSA establishes an account receivable and pursues collection. For example:  ED establishes receivables related to vendor overpayments.","Recovery Activity","ED will continue to collect monies from vendors against the accounts receivable
established and, if/as necessary, pursue collection.","Q1 2021"
"Feb 12 2021  9:32AM","Feb 12 2021  9:32AM","DOT","Federal Highway Administration Highway Planning and Construction","Overpayments #1","","","","Q1 2021"
"Feb 12 2021  1:48PM","Feb 12 2021  1:48PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers. ","Q1 2021"
"Feb 12 2021  2:02PM","Feb 12 2021  2:02PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by the Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers. ","Q1 2021"
"Feb 12 2021  2:31PM","Feb 12 2021  2:31PM","FCC","Universal Service Fund - Lifeline","Overpayments #1","Established the procedures necessary to implement the items in the â€œActions to be Takenâ€ section.","Recovery Activity","Establish an alert in LCS when an ETC claims an unusually high percentage of subscribers, which indicates potential non-usage non-compliance. Begin conducting targeted programmatic reviews of ETCsâ€™ non-usage compliance, including reviews of policies ","Q1 2021"
"Feb 12 2021  2:37PM","Feb 12 2021  2:37PM","SBA","7(a) Loan Guarantees Approvals","Overpayments #1","Reduction or cancellation of loan guaranty to mitigate or eliminate improper payment.","Recovery Audit","There is no monetary loss on loan approvals.  SBA will continue to reduce or cancel the loan guaranty in order to mitigate or eliminate improper payments.","Q1 2021"
"Feb 12 2021  2:44PM","Feb 12 2021  2:45PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Overpayments #1","For overpayments identified through the error rate statistical sampling process, states worked to recover payments resulting from fraud and to the extent recoverable, those that were not the result of fraud.","Recovery Activity","States are required to recover child care payments that are the result of fraud and have discretion as to whether to recover misspent funds that were not the result of fraud, such as in cases of administrative error.  ","Q1 2021"
"Feb 12 2021  2:53PM","Feb 12 2021  2:53PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Overpayments #1","","","","Q1 2021"
"Feb 12 2021  2:59PM","Feb 12 2021  2:59PM","SBA","504 Certified Development Loans Approvals","Overpayments #1","Obtain additional loan documentation to mitigate or eliminate improper payment.","Recovery Audit","There is no monetary loss on loan approvals.  SBA will continue to obtain loan documentation to mitigate or eliminate improper payments. ","Q1 2021"
"Feb 12 2021  3:54PM","Feb 12 2021  3:54PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Overpayments #1","","","","Q1 2021"
"Feb 12 2021  4:01PM","Feb 12 2021  4:01PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Overpayments #1","As discussed in the FY 2020 Agency Financial Report, States are required to establish State Medicaid Recovery Audit Programs to identify overpayments to the extent possible.","","As discussed in the FY 2020 Agency Financial Report, States are required to establish State Medicaid Recovery Audit Programs to identify overpayments to the extent possible.","Q1 2021"
"Feb 12 2021  4:24PM","Feb 12 2021  4:24PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Overpayments #1","HHS and the Recovery Audit Contractors review inpatient claims for medical necessity and coding purposes. ","Recovery Activity","HHS and its review contractors (Medicare Administrative Contractors and Recovery Audit Contractors) complete post payment review and Targeted Probe and Educate (MACs) based on improper payment rate findings.","Q1 2021"
"Feb 12 2021  4:29PM","Feb 12 2021  4:29PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Overpayments #1","HHS has conducted data analysis and audits to identify and recover inappropriate payments submitted by Part D plan sponsors.","Recovery Activity","HHS will be conducting data analysis and audits to recover inappropriate payments.","Q1 2021"
"Feb 12 2021  4:32PM","Feb 12 2021  4:32PM","DOD","Military Pay","Overpayments #1","Not Applicable","","Not applicable to the root cause of improper payments identified for this program. ","Q1 2021"
"Feb 12 2021  4:34PM","Feb 12 2021  4:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Overpayments #1","In FY 2020, CMS recovered $11.8 million from Part D plan sponsors, due to National Benefit Integrity Medicare Drug Integrity Contractor (NBI MEDIC) data analysis projects and Part D plan sponsor self-audits.","Recovery Activity","HHS will be conducting data analysis and audits to recover inappropriate payments.","Q1 2021"
"Feb 12 2021  4:37PM","Feb 12 2021  4:37PM","DOD","Civilian Pay","Overpayments #1","Not Applicable","","Not applicable to the root cause of improper payments identified for this program. ","Q1 2021"
"Feb 12 2021  4:42PM","Feb 12 2021  4:42PM","DOD","Military Health Benefits - Healthcare","Overpayments #1","Post payment compliance reviews identify payment errors for the purpose of reporting improper payment estimates. Private sector care Contractors are notified of payment errors for correction and to assess processes and procedures. ","Recovery Activity","Continue scheduled compliance reviews conducted by EIC. Payment errors are identified and refunds made to the Government through the submission of an adjusted TED record or by direct payment.","Q1 2021"
"Feb 12 2021  4:51PM","Feb 12 2021  4:51PM","DOD","Military Retirement","Overpayments #1","R&A has an internal review process through the Quality Product Assurance (QPA) department consisting of random sampling reviews and pre-review of all one-time payments over $2500 and post pay sampling reviews. ","Recovery Activity","The QPA review process allows to quickly identify erroneously processed overpayments. The post review process identifies errors after release, at which point the funds would be reclaimed. Most reclamations are automated through EFT recall requests. ","Q1 2021"
"Feb 12 2021  5:11PM","Feb 12 2021  5:11PM","DOD","Military Pay - Department of Air Force","Overpayments #1","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","Review management notices and Customer Service Portal products and metrics to ensure corrective actions are taken. ","Q1 2021"
"Feb 12 2021  5:15PM","Feb 12 2021  5:15PM","DOD","Military Pay - Army","Overpayments #1","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","DFAS provides the actual LES period of the overpayment to include processes that determined the overpayment.  Army will conduct additional analysis of the overpayments validity.  ","Q1 2021"
"Feb 17 2021  2:10PM","Feb 17 2021  2:10PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Overpayments #1","","Recovery Activity","FSA overpayment policy is used to collect payments exceeding their eligibility.","Q1 2021"
"Feb  3 2021  2:07PM","Feb  3 2021  2:07PM","OPM","Federal Retirement Services","Overpayments #2","","","","Q1 2021"
"Feb 11 2021  2:54PM","Feb 11 2021  2:54PM","VA","Pension","Overpayments #2","","","","Q1 2021"
"Feb 11 2021  3:08PM","Feb 11 2021  3:08PM","VA","VA Community Care","Overpayments #2","OCC has awarded a new recovery audit contract and is preparing to operationalize that contract. The new contractor is currently scheduled to begin auditing claims for the VACC, CHAMPVA and Spina Bifida Health Care programs in FY 2021.","Recovery Audit","Contractor will identify overpayments by provider TIN and aggregate those debts by fiscal year. The VA Debt Management Center will send notices of indebtedness to providers and use the cross-servicing and Treasury offset programs for unpaid debts.","Q1 2021"
"Feb 11 2021  3:26PM","Feb 11 2021  3:26PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Overpayments #2","We are continuing efforts on the development of a new debt management system.","Recovery Activity","Implement lockbox service through the Department of the Treasury.","Q1 2021"
"Feb 11 2021  3:41PM","Feb 11 2021  3:41PM","SSA","Supplemental Security Income (SSI)","Overpayments #2","We are continuing efforts on the development of a new debt management system.","Recovery Activity","Implement lockbox service through the Department of the Treasury.","Q1 2021"
"Feb 11 2021  5:32PM","Feb 11 2021  5:32PM","ED","Federal Pell Grant Program","Overpayments #2","As part of its oversight activities, FSA performs program reviews of selected schools to confirm FSA requirements for institutional eligibility, financial responsibility, and administrative capability were met. For errors identified in performance, FSA assesses monetary liabilities that are calculated based on program review findings, and FSA identifies actions that schools must take to make whole FSA programs or recipients for any funds that were improperly managed and to prevent the same problems from recurring.","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from program reviews and, if/as necessary, pursue collection. ","Q1 2021"
"Feb 11 2021  5:39PM","Feb 11 2021  5:39PM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #2","As part of its oversight activities, FSA performs program reviews of selected schools to confirm FSA requirements for institutional eligibility, financial responsibility, and administrative capability were met. For errors identified in performance, FSA assesses monetary liabilities that are calculated based on program review findings, and FSA identifies actions that schools must take to make whole FSA programs or recipients for any funds that were improperly managed and to prevent the same problems from recurring.","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from program reviews and, if/as necessary, pursue collection.","Q1 2021"
"Feb 12 2021  9:32AM","Feb 12 2021  9:32AM","DOT","Federal Highway Administration Highway Planning and Construction","Overpayments #2","","","","Q1 2021"
"Feb 12 2021 11:36AM","Feb 12 2021 11:36AM","VA","Purchased Long Term Services and Supports","Overpayments #2","","","","Q1 2021"
"Feb 12 2021  1:48PM","Feb 12 2021  1:48PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required.","Q1 2021"
"Feb 12 2021  1:58PM","Feb 12 2021  1:58PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required.","Q1 2021"
"Feb 12 2021  2:02PM","Feb 12 2021  2:02PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required. Post refund statutory adjustments occur.","Q1 2021"
"Feb 12 2021  2:37PM","Feb 12 2021  2:37PM","SBA","7(a) Loan Guarantees Approvals","Overpayments #2","","","","Q1 2021"
"Apr  8 2021 10:31AM","Apr  8 2021 10:31AM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers.","Q2 2021"
"Apr  8 2021 10:40AM","Apr  8 2021 10:40AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #1","Examination Closure","Recovery Activity","IRS conducts post refund audits selected by Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers. Taxpayers are informed to file amended returns.","Q2 2021"
"Apr 13 2021 11:00AM","Apr 13 2021 11:00AM","OPM","Federal Retirement Services","Overpayments #1","Off-roll debts are collected when the debtor is not on the annuity roll or their entitlement is insufficient to recover
the debt on a reasonable recovery schedule;","Recovery Activity","Retirement Services will continue to perform the existing actions and conduct a periodic analysis.","Q2 2021"
"Apr 14 2021  4:43PM","Apr 14 2021  4:43PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Overpayments #1","","Recovery Audit","AIPs are notified of any overpayments through RMA's Compliance Activities and Results System (CARS). They are then tracked, collected, and verified through RMA's accounting system.","Q2 2021"
"Apr 28 2022 10:24AM","Apr 28 2022 10:24AM","FCC","Universal Service Fund - Lifeline","Overpayments #3","Self-reported overpayments","Recovery Activity","USAC is assessing the reason for the improper payment and will take corrective actions to prevent such improper payments from re-occurring.","Q2 2022"
"Apr 15 2021  3:51PM","Apr 15 2021  3:51PM","ED","Federal Pell Grant Program","Overpayments #1","ED has established an integrated system of complementary oversight functions to help detect and recover improper payments and ensure compliance by all participating parties. When an improper payment is detected and deemed collectable, FSA establishes an a","Recovery Activity","ED will continue to collect monies from vendors against the accounts receivable established and, if/as necessary, pursue collection.","Q2 2021"
