"Agency","Program_Name","Fiscal_Year","Payment_Type","Program_Design_or_Structural_Issue","Inability_to_Authenticate_Eligibility","Inability_to_Authenticate_Eligibility:_Inability_to_Access_Data","Inability_to_Authenticate_Eligibility:_Data_Needed_Does_Not_Exis","Insufficient_Documentation_to_Determine","Failure_to_Access_Data","Address_Location","Contractor_or_Provider_Status","Financial"
"CNCS","AmeriCorps State Service Commission Grants","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State Service Commission Grants","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State Service Commission Grants","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State Service Commission Grants","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State Service Commission Grants","2021","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps State Service Commission Grants","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State Service Commission Grants","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State Service Commission Grants","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps State Service Commission Grants","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps State Service Commission Grants","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2021","Unknown","","","","","0.0000000000","","","",""
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","AmeriCorps Volunteers in Service to America (VISTA)","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","National Service Trust","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","National Service Trust","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2021","Unknown","","","","","0.0000000000","","","",""
"CNCS","National Service Trust","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2024","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2024","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","National Service Trust","2024","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","National Service Trust","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2024","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","National Service Trust","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","National Service Trust","2024","Unknown","","","","","3.3500000000","","","",""
"CNCS","Office of Human Capital (Payroll)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Human Capital (Payroll)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Human Capital (Payroll)","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","Office of Human Capital (Payroll)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Human Capital (Payroll)","2021","Unknown","","","","","0.0000000000","","","",""
"CNCS","Office of Human Capital (Payroll)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Human Capital (Payroll)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Human Capital (Payroll)","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","Office of Human Capital (Payroll)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Human Capital (Payroll)","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","Office of Procurement Services","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Procurement Services","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Procurement Services","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","Office of Procurement Services","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Procurement Services","2021","Unknown","","","","","0.0000000000","","","",""
"CNCS","Office of Procurement Services","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Procurement Services","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Procurement Services","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","Office of Procurement Services","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","Office of Procurement Services","2022","Unknown","","","","","0.0000000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2017","Overpayments","","","","","14.0660000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2018","Overpayments","","","","","14.4880000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2020","Overpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2019","Overpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.6600000000","0.0000000000","0.0000000000","0.6600000000"
"CNCS","The Foster Grandparent Program (FGP)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2020","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2019","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2017","Underpayments","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2018","Underpayments","","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2020","Underpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.1900000000","0.0000000000","0.0000000000","0.1900000000"
"CNCS","The Foster Grandparent Program (FGP)","2019","Underpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2020","Unknown","","","","","9.7500000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2019","Unknown","","","","","23.6100000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2021","Unknown","","","","","17.3400000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2023","Overpayments outside agency control","","","0.0000000000","0.0000000000","","2.0680000000","0.0000000000","0.0000000000","2.0680000000"
"CNCS","The Foster Grandparent Program (FGP)","2024","Overpayments outside agency control","","","0.0000000000","0.0000000000","","2.7100000000","0.0000000000","0.0000000000","2.7100000000"
"CNCS","The Foster Grandparent Program (FGP)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","1.5600000000","0.0000000000","0.0000000000","1.5600000000"
"CNCS","The Foster Grandparent Program (FGP)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2023","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2024","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2023","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2024","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Foster Grandparent Program (FGP)","2023","Underpayments","","","0.0000000000","0.0000000000","","0.0750000000","0.0000000000","0.0000000000","0.0750000000"
"CNCS","The Foster Grandparent Program (FGP)","2024","Underpayments","","","0.0000000000","0.0000000000","","0.1200000000","0.0000000000","0.0000000000","0.1200000000"
"CNCS","The Foster Grandparent Program (FGP)","2023","Unknown","","","","","5.4920000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2024","Unknown","","","","","13.1400000000","","","",""
"CNCS","The Foster Grandparent Program (FGP)","2022","Unknown","","","","","20.1900000000","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2018","Overpayments","","","","","3.6952941176","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2020","Overpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Overpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2017","Overpayments","0.2320000000","","","","2.7840000000","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","3.0520000000","0.0000000000","0.0000000000","3.0520000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2020","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2017","Underpayments","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2018","Underpayments","","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2020","Underpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0719000000","0.0000000000","0.0000000000","0.0719000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Underpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2020","Unknown","","","","","3.5000000000","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2019","Unknown","","","","","12.6900000000","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2021","Unknown","","","","","2.8000000000","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","1.3700000000","0.0000000000","0.0000000000","1.3700000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0980000000","0.0000000000","0.0000000000","0.0980000000"
"CNCS","The Retired and Senior Volunteer Program (RSVP)","2022","Unknown","","","","","6.2900000000","","","",""
"CNCS","The Senior Companion Program (SCP)","2017","Overpayments","","","","","5.6760000000","","","",""
"CNCS","The Senior Companion Program (SCP)","2018","Overpayments","","","","","9.6986956522","","","",""
"CNCS","The Senior Companion Program (SCP)","2020","Overpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2019","Overpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.9650000000","0.0000000000","0.0000000000","0.9650000000"
"CNCS","The Senior Companion Program (SCP)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Senior Companion Program (SCP)","2021","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2020","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2019","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2017","Underpayments","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2018","Underpayments","","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Senior Companion Program (SCP)","2020","Underpayments","","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2019","Underpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CNCS","The Senior Companion Program (SCP)","2020","Unknown","","","","","2.9100000000","","","",""
"CNCS","The Senior Companion Program (SCP)","2019","Unknown","","","","","9.6760000000","","","",""
"CNCS","The Senior Companion Program (SCP)","2021","Unknown","","","","","6.8620000000","","","",""
"CNCS","The Senior Companion Program (SCP)","2023","Overpayments outside agency control","","","0.0000000000","0.0000000000","","2.0250000000","0.0000000000","0.0000000000","2.0250000000"
"CNCS","The Senior Companion Program (SCP)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","1.4370000000","0.0000000000","0.0000000000","1.4370000000"
"CNCS","The Senior Companion Program (SCP)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Senior Companion Program (SCP)","2023","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CNCS","The Senior Companion Program (SCP)","2022","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2023","Technically Improper","0.0000000000","","","","","","","",""
"CNCS","The Senior Companion Program (SCP)","2023","Underpayments","","","0.0000000000","0.0000000000","","0.0460000000","0.0000000000","0.0000000000","0.0460000000"
"CNCS","The Senior Companion Program (SCP)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0660000000","0.0000000000","0.0000000000","0.0660000000"
"CNCS","The Senior Companion Program (SCP)","2023","Unknown","","","","","3.3050000000","","","",""
"CNCS","The Senior Companion Program (SCP)","2022","Unknown","","","","","8.2750000000","","","",""
"CPSC","Non-Payroll","2020","Overpayments","","","0.0000000000","0.0000000000","","","","",""
"CPSC","Non-Payroll","2019","Overpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CPSC","Non-Payroll","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Non-Payroll","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Non-Payroll","2021","Technically Improper","0.0000000000","","","","","","","",""
"CPSC","Non-Payroll","2020","Technically Improper","0.0000000000","","","","","","","",""
"CPSC","Non-Payroll","2019","Technically Improper","0.0000000000","","","","","","","",""
"CPSC","Non-Payroll","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Non-Payroll","2020","Underpayments","","","0.0000000000","0.0000000000","","","","",""
"CPSC","Non-Payroll","2019","Underpayments","0.0000000000","","0.0000000000","0.0000000000","","","","",""
"CPSC","Non-Payroll","2019","Unknown","","","","","","","","",""
"CPSC","Non-Payroll","2020","Unknown","","","","","0.0000000000","","","",""
"CPSC","Non-Payroll","2021","Unknown","","","","","0.0000000000","","","",""
"CPSC","Non-Payroll","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Non-Payroll","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Non-Payroll","2022","Technically Improper","0.0000000000","","","","","","","",""
"CPSC","Non-Payroll","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Non-Payroll","2022","Unknown","","","","","0.0000000000","","","",""
"CPSC","Payroll - Consumer Product Safety Commission","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Payroll - Consumer Product Safety Commission","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Payroll - Consumer Product Safety Commission","2021","Technically Improper","0.0000000000","","","","","","","",""
"CPSC","Payroll - Consumer Product Safety Commission","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Payroll - Consumer Product Safety Commission","2021","Unknown","","","","","0.0000000000","","","",""
"CPSC","Payroll - Consumer Product Safety Commission","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"CPSC","Payroll - Consumer Product Safety Commission","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
