"End Date","Recorded Date","Agency","Program Name","Please provide a brief 1-2 sentence high level description of yo","RootCauseNumber","RootCause","RootCauseDescription","RootCauseValue","MitigationStrategy","AnticipatedImpactMitigation","Provide a detailed description of the actions taken and planned","Quarter Year"
"Feb 12 2021  5:03PM","Feb 12 2021  5:03PM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services.  It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 1.","Administrative or process errors made by: federal agency","Refine system detection criteria to prevent improper payments and provide training when necessary.","","Training","Reduction in improper payments.","","Q1 2021"
"Apr 16 2021  1:23AM","Apr 16 2021  1:23AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 1.","Administrative or process errors made by: federal agency","Refine system detection criteria to prevent improper payments and provide training when necessary.","","Training","Reduction in improper payments.","","Q2 2021"
"Aug 13 2021  9:38AM","Aug 13 2021  9:38AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 1.","Administrative or process errors made by: federal agency","Refine system detection criteria to prevent improper payments and provide training when necessary.","","Training","Reduction in improper payments.","","Q3 2021"
"Aug 13 2021  9:38AM","Aug 13 2021  9:38AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q3 2021"
"Feb 12 2021  5:03PM","Feb 12 2021  5:03PM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services.  It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q1 2021"
"Dec 10 2021  6:39AM","Dec 10 2021  6:39AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q4 2021"
"Apr 16 2021  1:23AM","Apr 16 2021  1:23AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q2 2021"
"Apr 16 2021  1:23AM","Apr 16 2021  1:23AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q2 2021"
"Aug 13 2021  9:38AM","Aug 13 2021  9:38AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q3 2021"
"Dec 10 2021  6:39AM","Dec 10 2021  6:39AM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services. It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q4 2021"
"Feb 12 2021  5:03PM","Feb 12 2021  5:03PM","DOD","Commercial Pay","Payments disbursed by DFAS, the Army, and the Navy, for vendors and contractors for goods and services.  It also includes Disaster Relief and CARES Act funding payments made by the Military Services and DoD Components.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q1 2021"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 1","Administrative or Process Errors Made by: Federal Agency","Errors caused by incorrect data entry, classifying, or processing of applications or payments.","126.16","Provide additional guidance and focused training, as well as increase visibility of improper travel payments to senior accountable officials and enhance travel system controls.","Reduce travel improper payments and comply with the programâ€™s annual target rate for improper payments. ","","Q4 2018"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 2","My program does not have a second root cause","N/a","","N/a","N/a","","Q4 2018"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 3","My program does not have a third root cause","N/a","","N/a","N/a","","Q4 2018"
"Nov 14 2019  9:28AM","Nov 14 2019  9:28AM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 1.","Administrative or process errors made by: federal agency","Errors caused by incorrect data entry, classifying, or processing of applications or payments.","126.16","Require corrective action plans (CAPs) to be completed, provide additional guidance and focused training, as well as increase visibility of improper travel payments to senior accountable officials and enhance travel system controls.","Reduce travel improper payments and comply with the program's annual target rate for improper payments.","","Q4 2019"
"Apr 19 2019  9:49AM","Apr 19 2019  9:49AM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and
Marine Corps to Active, Reserve, and National Guard Military Service members and civilians
for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 1.","Administrative or Process Errors Made by: Federal Agency","Errors caused by incorrect data entry, classifying, or processing of applications or
payments.","126.16","Require corrective action plans (CAPs) to be completed, provide additional guidance and focused training, as well as increase visibility of improper travel payments to senior accountable officials and enhance travel system controls.","Reduce travel improper payments and comply with the programâ€™s annual target rate for
improper payments.","","Q2 2019"
"Aug  9 2019  1:54PM","Aug  9 2019  1:54PM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 1.","Administrative or process errors made by: federal agency","Errors caused by incorrect data entry, classifying, or processing of applications or payments.","126.16","Require corrective action and remediation plans to be completed, provide additional guidance and focused training, as well as increase visibility of improper travel payments to senior accountable officials and enhance travel system controls.","Reduce travel improper payments and comply with the program's annual target rate for improper payments.","","Q3 2019"
"Apr 19 2019  9:49AM","Apr 19 2019  9:49AM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and
Marine Corps to Active, Reserve, and National Guard Military Service members and civilians
for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q2 2019"
"Aug  9 2019  1:54PM","Aug  9 2019  1:54PM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q3 2019"
"Nov 14 2019  9:28AM","Nov 14 2019  9:28AM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q4 2019"
"Aug  9 2019  1:54PM","Aug  9 2019  1:54PM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q3 2019"
"Apr 19 2019  9:49AM","Apr 19 2019  9:49AM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and
Marine Corps to Active, Reserve, and National Guard Military Service members and civilians
for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q2 2019"
"Nov 14 2019  9:28AM","Nov 14 2019  9:28AM","DOD","DoD Travel Pay","The DoD Travel Pay program reviews payments made by DFAS, Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilians for temporary and permanent travel and/or transportation-related expenses.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q4 2019"
"Oct 27 2023  3:26PM","Oct 27 2023  3:26PM","DOD","DoD Travel Pay","DoD Travel Pay consists of payments disbursed by the Defense Finance and Accounting Service (DFAS), the Department of the Air Force, Army, Navy, and Marine Corps to Active, Reserve, and National Guard Military Service members and Civilian employees for temporary and permanent travel and transportation-related expenses. Primary overpayment causes due to insufficient supporting documentation and Approving/Certifying Officials failing to identify vendor invalid receipts and verifying adherence to DoD Regulations prior to approving travel expenses. Known barriers to prevention include the DoD's reliance on Travel Pay record-keeping systems that are decentralized, heavily interfaced, manually intensive, and susceptible to human error.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","Improper payments (IPs) for Travel Pay are primarily caused by submission of invalid receipts. As such, payments are made to qualified travelers who didn’t provide proper documents to support travel payments. Approving Officials fail to identify invalid receipts and adherence to DoD Regulations prior to approving expenses exacerbates the issues with the DoD’s reliance on recordkeeping systems that are decentralized, heavily interfaced, manually intensive, and susceptible to human error. The DoD pursued a collective approach with the Military Branches and the Defense Travel Management Office to reduce IPs. Corrective actions spearhead the effort to reduce IPs by outlining training/communication initiatives to improve compliance with statutory requirements and ensure documentation is understood, submitted, and reviewed appropriately. The DoD conducted extensive training to reduce/prevent IPs. The Army Financial Management & DFAS Customer Workshop conducted trainings on recent updates to processes and provide guidance on frequent causes of IPs. The Department of Air Force (DAF) conducted trainings each month on common causes of IPs in the Defense Travel System (DTS) and the proper use of the DTS Compliance Tool. The tool ensures timely and accurate IP reporting, tracks recoveries to collection, and is a means for the DAF to analyze and address root causes of IPs. The tool sends emails to travelers and approvers with instructions for resolving discrepancies and recovery of debt.","Q4 2023"
"Apr 28 2023  7:38AM","Apr 28 2023  7:38AM","DOD","DoD Travel Pay","Travel Pay consists of payments disbursed by DFAS, the Army, Navy, Air Force, and Marine Corps to Active, Reserve, and National Guard Military Service members and civilian employees for temporary and permanent travel and transportation-related expenses. Primary overpayment causes consist of Approving/Certifying Officials failing to identify invalid receipts and verifying adherence to DoD Financial Management Regulation requirements prior to approving travel-related expenses (i.e., airfare, vehicle rentals, lodging). Known barriers to prevention include the DoD's reliance on a Travel Pay record-keeping systems that are decentralized, heavily interfaced, and manually intensive. Reviewing and validating receipts is susceptible to human error.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","Conducted presentations/panels at the National Defense Travel Administrators (NDTA) GovTravels Conference (approximately 200 participants), the United States Army Reserve Command (USARC) at Fort Bragg (approximately 250 participants), and the Financial Services Worldwide and Training Workshop (over 500 participants) to train staff on updated processes and procedures. Conducted and continue to conduct monthly meetings and frequent trainings with DoD Services to highlight the most common causes of travel pay process errors and discuss the proper use of Travel Pay tools and resources. Conducted training for newly certified Approving Officials (AOs) and those identified as approving travel-related expenses which are subsequently identified as improper payments. Approval responsibilities are removed from AOs identified as being the approvers of multiple improper payments (repeat offenders).
The Defense Travel Management Office (DTMO) provided additional training resources and stakeholder outreach (Travel Assistance Center Outreach Calls and the GovTravels event). Published an article in the DTMO Dispatch on Travel Pay topics and provided messaging on the DTMO and Defense Travel System (DTS) websites.
Currently working on plans to implement additional on-screen messaging (on the Expenses screens) within the DTS application. In 3rd quarter FY2023, DoD is planning site visits to conduct additional training with examiners and auditors at locations in Jacksonville, FL and Norfolk, VA.
","Q2 2023"
"Aug  1 2023  4:04PM","Aug  1 2023  4:04PM","DOD","DoD Travel Pay","DoD Travel Pay consists of payments disbursed by the Defense Finance and Accounting Service (DFAS), the Department of the Air Force, Army, Navy, and Marine Corps to Active, Reserve, and National Guard Military Service members and Civilian employees for temporary and permanent travel and transportation-related expenses. Primary overpayment causes due to insufficient supporting documentation and Approving/Certifying Officials failing to identify vendor invalid receipts and verifying adherence to DoD Regulations prior to approving travel expenses. Known barriers to prevention include the DoD's reliance on Travel Pay record-keeping systems that are decentralized, heavily interfaced, manually intensive, and susceptible to human error. ","Please choose Root Cause 3.","My program does not have a third root cause","","","","","The DoD Travel Pay has done extensive training during the previous quarter to prevent improper payments (IPs). The Army Financial Management & DFAS Customer Workshop conducted presentations to train staff on the most recent updates to processes and procedures to provide guidance on the frequent causes of IP’s. The Dept. of Air Force (DAF) conducted training three times each month for all financial management on common Defense Travel System (DTS) IP’s and proper use of the DTS Compliance Tool. Accountability is instilled by DAF policy by removing approving authorization from AOs who repeatedly cause IP’s. DAF has developed and implemented a robotics program to correct unauthorized AOs in DTS. The Navy DTS PMO has met with several Budget Submitting Office (BSO) DTS Lead Defense Travel Administrators (LDTAs) between April 2023 - June 2023 to discuss travel activity and related metrics including volume, trends, and sources. Navy DTS PMO held a Navy-wide BSO LDTA meeting in which the IP’s of each command and their causes were briefed. In July - September 2023, the Navy DTS PMO is distributing BSO IP’s results to the executives of each BSO, requiring each command to enforce accountability. In the 4th Quarter, the DoD will implement retroactive corrections to the Regulation that will prevent technically IP’s due to verbiage that was missing. DoD Payment Integrity Office is pursuing receipt definition policy changes to allow corroborating evidence to support insufficient receipts.","Q3 2023"
