"End Date","Recorded Date","Agency","Program Name","Accomplishment","AccomplishmentDate","Quarter Year"
"Apr 19 2019  3:00PM","Apr 19 2019  3:00PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Medicare Administrative Contractors implemented the Targeted Probe & Educate medical review strategy in FY18; conducted up to 3 rounds of hospital outpatient claims reviews, 20-40 claims per round, and educated providers at the end of each round.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  3:08PM","Apr 19 2019  3:08PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","In 2018, Part D sponsors reported and returned approximately $2.1 million in self-reported overpayments.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  4:33PM","Apr 19 2019  4:33PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","RMAâ€™s six RCOs completed the review of the 405 case policies in the Fiscal Year 2019 IPERIA sample.  ","Apr  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  4:44PM","Apr 19 2019  4:44PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Completed all fieldwork and reporting for the 2-year Funding and Participation ME target area.","Nov  1 2018 12:00AM","Q2 2019"
"Jan 28 2022  4:15PM","Jan 28 2022  4:15PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","HHS continued to implement a robust corrective action plan process that provides enhanced technical assistance and guidance to states. HHS worked with states to develop corrective action plans addressing each error and deficiency identified.","Dec  1 2021 12:00AM","Q1 2022"
"Apr 19 2019  4:59PM","Apr 19 2019  4:59PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","FNS released a comprehensive guide to assist States in reducing fraud, called our Fraud Framework.  It is a toolkit designed to help states prevent and detect fraud and sharpen their investigative techniques.","Mar  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  5:05PM","Apr 19 2019  5:05PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Working with GSAâ€™s 18F on a project to improve the quality of administrative data collected from the States on the NSLP and SBP verification process.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  5:11PM","Apr 19 2019  5:11PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Working with GSAâ€™s 18F on a project to improve the quality of administrative data collected from the States on the NSLP and SBP verification process.","Nov  1 2018 12:00AM","Q2 2019"
"Apr  5 2019  1:44PM","Apr  5 2019  1:44PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Completed automation enhancements to address corrective actions for Windfall Elimination Provision (WEP) & Government Pension Offset (GPO) cases; implemented several software changes.  Result: more efficient & reduces likelihood of improper payments.","Nov  1 2018 12:00AM","Q2 2019"
"Apr  9 2019  3:59PM","Apr  9 2019  3:59PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Document Matching: IRS conducted its post-refund document matching process that compares income reported on tax returns with income reported by the employer.  ","Mar  1 2019 12:00AM","Q2 2019"
"Apr 11 2019  3:21PM","Apr 11 2019  3:21PM","DOT","Federal Highway Administration Highway Planning and Construction","test","","Q2 2019"
"Apr 11 2019 10:14PM","Apr 11 2019 10:14PM","SSA","Supplemental Security Income (SSI)","We convened planning for a data exchange with the Department of Homeland Security's (DHS) Arrival and Departure Information System in FY 2019-2020, which will mitigate improper payments resulting from absence from the U.S.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 16 2019  2:37PM","Apr 16 2019  2:37PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Identified 11 states with a high-rate/high-impact on the national UI improper payment rate and they will begin receiving intensive technical assistance and oversight.","Feb  1 2019 12:00AM","Q2 2019"
"Apr 16 2019  3:06PM","Apr 16 2019  3:06PM","ED","Federal Pell Grant Program","FSA began implementing a statistically-valid methodology to estimate improper payments for its risk susceptible programs. This new methodology will improve the accuracy of the estimates.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 16 2019  4:10PM","Apr 16 2019  4:10PM","ED","William D. Ford Federal Direct Loan Program ","FSA began implementation of a statistically-valid methodology to estimate improper payments for its risk susceptible programs. This new methodology will improve the accuracy of the estimates.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 18 2019  2:30PM","Apr 18 2019  2:30PM","FCC","Universal Service Fund - Lifeline","Began automated eligibility checking of current Lifeline subscribers for entry in the National Verifier for 16 states.","Dec  1 2018 12:00AM","Q2 2019"
"Apr 18 2019  2:48PM","Apr 18 2019  2:48PM","FCC","Universal Service Fund - Lifeline","Began automated eligibility checking of current Lifeline subscribers for entry in the National Verifier for 16 states.","Dec  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  9:49AM","Apr 19 2019  9:49AM","DOD","DoD Travel Pay","In FY 2018, the DoD Travel Pay program met its improper payment target rate (i.e., 6
percent) for the first time in six years.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  9:52AM","Apr 19 2019  9:52AM","VA","Purchased Long Term Services and Supports","Develop new Fact Sheets for PLTSS providers on common errors in billing VA, based on audit findings.","Dec  1 2018 12:00AM","Q2 2019"
"Apr 19 2019 10:09AM","Apr 19 2019 10:09AM","VA","VA Community Care","OCC implemented the six of the seven remaining Medicare Fee Schedules in FBCS.","Apr  1 2019 12:00AM","Q2 2019"
"Apr 19 2019 10:26AM","Apr 19 2019 10:26AM","VA","Pension","Completed the Targeted Program Reviews related to dependency, Medicaid adjustments and burial benefits.  Final reports findings include recommendations for improvements when errors are found.","Feb  1 2019 12:00AM","Q2 2019"
"Apr 19 2019 10:39AM","Apr 19 2019 10:39AM","VA","Compensation","Guidance on the 'Ask DFAS' portal incorporated in manual directing mandated review of separation amounts to avoid duplicative payments.","Jan  1 2019 12:00AM","Q2 2019"
"Apr 19 2019 11:01AM","Apr 19 2019 11:01AM","DOD","Military Pay","For the first time, provided a FY 2019 MILPAY Account Post-Payment Review Status to the DoD Improper Payments Senior Accountable Officials Steering Committee. 
","Mar  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  2:33PM","Apr 19 2019  2:33PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Completed Joint Case Reviews for several reporting states for the FY19 IP reviews, which provide oversight of the IP methodology, assist in identifying areas for improvement, and allow grantees to self-identify areas needing correction.","Apr  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  2:47PM","Apr 19 2019  2:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","As of April 2019, all states have access to Death Master File data through CMS' Data Exchange system.","Apr  1 2019 12:00AM","Q2 2019"
"Apr 19 2019  3:00PM","Apr 19 2019  3:00PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","National Correct Coding Initiative Edits saved the Medicare program $505.30 million in the first three quarters of FY 2018.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  3:08PM","Apr 19 2019  3:08PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Due to the National Benefit Integrity Medicare Drug Integrity Contractor's (NBI MEDIC) data analysis projects, including Part D plan sponsor self-audits, CMS recovered $3.12 million from Part D sponsors during the first three quarters of FY 2018.","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  4:44PM","Apr 19 2019  4:44PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Completed a draft update to the WIC Vendor Management and Food Delivery Handbook (draft is currently under review/in clearance).","Nov  1 2018 12:00AM","Q2 2019"
"Apr 19 2019  4:59PM","Apr 19 2019  4:59PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","FNS issued an update to the FNS Handbook 310 manual, used by States to measure improper payments.  Changes included tightening restrictions on authorized representatives serving as sources of information.","Nov  1 2018 12:00AM","Q2 2019"
"Oct 21 2022  8:59AM","Oct 21 2022  8:59AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","We implemented a Check Return bot that is designed to replicate the actions that a technician takes in order to process a returned check. The robotic technology will improve accuracy in processing returned checks.","Jul  1 2022 12:00AM","Q4 2022"
"Dec  7 2018  1:07PM","Dec  7 2018  1:07PM","RRB","Medicare","aa","Jul 18 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:19PM","Dec 11 2018  3:19PM","ED","William D. Ford Federal Direct Loan Program ","FSA developed a statistically-valid methodology to be implemented in 2019 to estimate improper payments for its risk susceptible programs. This new methodology will improve the accuracy of the estimates. ","Aug 18 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:37PM","Dec 11 2018  3:37PM","ED","Federal Pell Grant Program","FSA developed a statistically-valid methodology to be implemented in 2019 to estimate improper payments for its risk susceptible programs. This new methodology will improve the accuracy of the estimates. ","Aug 18 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:23AM","Dec 12 2018  8:23AM","ED","Federal Pell Grant Program","Federal Student Aid developed a statistically-valid methodology to be implemented in 2019 to estimate improper payments for its risk susceptible programs. This new methodology will improve the accuracy of the estimates.","Aug 18 2018 12:00AM","Q4 2018"
"Dec 13 2018 12:13PM","Dec 13 2018 12:13PM","VA","Purchased Long Term Services and Supports","Reviewed existing delegated signature process for individual authorizations &lt;$10,000 and application for PLTSS in effort to become VAAR compliant.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 13 2018  2:34PM","Dec 13 2018  2:34PM","DOT","Federal Highway Administration Highway Planning and Construction","FHWA performed more than 20 evaluations of State DOT financial systems to identify opportunities for improvement to reduce risk of improper payments.","Jul 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  9:11AM","Dec 14 2018  9:11AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Finalized FY 2019 EITC examination workplan","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018 12:35PM","Dec 14 2018 12:35PM","VA","Pension","Pension and Fiduciary Service completed the Targeted Program Reviews related to dependency, Medicaid adjustments and burial benefits.  Final reports reflect findings to include correctness in claims processing and payment error deficiencies. Recommen","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:15PM","Dec 14 2018  1:15PM","VA","VA Community Care","OCC implemented the first of the seven remaining Medicare Fee Schedules in FBCS. As of 9/26/2018, the Outpatient Rehabilitation & Comprehensive Outpatient  Rehabilitation Facility schedule was fully implemented in FBCS. Work toward implementing the s","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","In FY 2018, the DoD Travel Pay program met its improper payment target rate (i.e., 6 percent) for the first time in six years.","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:54PM","Dec 14 2018  1:54PM","DOD","Military Pay","Updated the Military Pay sampling and testing plans and received OMB approval of the revised timeframe for sampling.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:31PM","Dec 14 2018  3:31PM","VA","Compensation","Established use of a 'Potential Under/Overpayment' special issue used for priority routing rules on claims with potential under/overpayment.  This is to monitor timeliness in completing actions for potential under/overpayments.  A claims processor ad","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:45PM","Dec 14 2018  3:45PM","VA","Purchased Long Term Services and Supports","Reviewed existing delegated signature process for individual authorizations &lt;$10,000 and application for PLTSS in effort to become VAAR compliant.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:37PM","Dec 14 2018  4:37PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","a.	Conducted the fourth national technology training for State agencies and technology vendors. The training is focused on developing State agency skills and knowledge in technology-related areas that can improve program integrity.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:47PM","Dec 14 2018  4:47PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","a.	Conducted the fourth national technology training for State agencies and technology vendors. The training is focused on developing State agency skills and knowledge in technology-related areas that can improve program integrity.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:56PM","Dec 14 2018  4:56PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Statement of Work developed for work search study.","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:07PM","Dec 14 2018  5:07PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","RMA reduced the improper payment rate for the FCIP from 1.96% in Fiscal Year 2017 to 1.81% in Fiscal Year 2018.","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:20PM","Dec 14 2018  5:20PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","a.	FNS issued an update to the FNS Handbook 310 manual, used by States to measure improper payments.  Changes included tightening restrictions on authorized representatives serving as sources of information.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:22PM","Dec 14 2018  5:22PM","FCC","Universal Service Fund - Lifeline","Rolled out and required the use of Universal Forms.","Jul 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:27PM","Dec 14 2018  5:27PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Completed a draft update to the WIC Vendor Management and Food Delivery Handbook (draft is currently under review/in clearance).","Nov 18 2018 12:00AM","Q4 2018"
"Dec 17 2018  5:18PM","Dec 17 2018  5:18PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Completed Joint Case Reviews will all 17 reporting states in FY18. Reviews provide oversight of the improper payment methodology, assist in identifying areas for improvement, & allow grantees to self-identify areas needing correction.","Jun 18 2018 12:00AM","Q4 2018"
"Dec  7 2018  1:07PM","Dec  7 2018  1:07PM","RRB","Medicare","a","Jul 18 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:19PM","Dec 11 2018  3:19PM","ED","William D. Ford Federal Direct Loan Program ","FSA devised an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.  ","Oct 18 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:37PM","Dec 11 2018  3:37PM","ED","Federal Pell Grant Program","FSA devised an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.  ","Oct 18 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:08AM","Dec 12 2018  8:08AM","ED","William D. Ford Federal Direct Loan Program ","Federal Student Aid devised an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:23AM","Dec 12 2018  8:23AM","ED","Federal Pell Grant Program","Federal Student Aid devised an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 13 2018 12:13PM","Dec 13 2018 12:13PM","VA","Purchased Long Term Services and Supports","Identified VA Medical Centers using IDIQs in conjunction with contracting, in effort to become FAR compliant.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 13 2018  2:34PM","Dec 13 2018  2:34PM","DOT","Federal Highway Administration Highway Planning and Construction","FHWA completed updated guidance regarding project funds management and provided training to field staff and grant recipients.","Aug 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  9:11AM","Dec 14 2018  9:11AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Reviewed and updated rules-based selection application that identifies potentially non-compliant EITC claims ","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018 12:35PM","Dec 14 2018 12:35PM","VA","Pension","Migration from outdated Systematic Technical Accuracy Review database to Quality Management System  to provide consistency and standardization in the performance of  individual and national quality reviews, which result in correct claims processing a","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:15PM","Dec 14 2018  1:15PM","VA","VA Community Care","OCC staff assessed best practices from subject matter experts and existing performance-based quality reviews to create a set of standardized review criteria aimed at identifying payment error trends at both the local and national levels. OCC staff al","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:33PM","Dec 14 2018  1:33PM","DOD","DoD Travel Pay","","","Q4 2018"
"Dec 14 2018  3:31PM","Dec 14 2018  3:31PM","VA","Compensation","Established the Individual Unemployment (IU) Annual Eligibility Review (AER) Project -- In September 2018, Compensation Service rolled out a new automated process that modifies the previous manual self-certification process to allow for an annual dat","Sep 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  3:45PM","Dec 14 2018  3:45PM","VA","Purchased Long Term Services and Supports","Identified VAMCs using IDIQs in conjunction with contracting, in effort to become FAR compliant.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:37PM","Dec 14 2018  4:37PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","a.	Finished data collection for the third in USDAâ€™s series of nationally representative studies to measure improper payments in the school meal programs.","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:47PM","Dec 14 2018  4:47PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","a.	Finished data collection for the third in USDAâ€™s series of nationally representative studies to measure improper payments in the school meal programs.","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  4:56PM","Dec 14 2018  4:56PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","State engagement to assess the feasibility of the development of messaging for work search using behavioral insights.","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:07PM","Dec 14 2018  5:07PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","RMA conducted updated IPERIA review training for compliance investigation staff at its six regional compliance offices (RCOs). The training incorporated new policies and reporting requirements.","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:20PM","Dec 14 2018  5:20PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","a.	FNS released an RFI to begin the process of revising our regulations to better align with improper payment reporting principles and to simplify the process in order to improve compliance and accuracy of measures.  ","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:22PM","Dec 14 2018  5:22PM","FCC","Universal Service Fund - Lifeline","Began automated eligibility checking of current Lifeline subscribers for entry in the National Verifier for 16 states.","Nov 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  5:27PM","Dec 14 2018  5:27PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Completed a draft WIC Certification and Eligibility Handbook (draft is currently under review/in clearance).","Sep 18 2018 12:00AM","Q4 2018"
"Dec 17 2018  5:18PM","Dec 17 2018  5:18PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","ACF revised Child Care Data Collection Instructions and OMB approved them in  Oct. 2018. Grantees received training on the new instructions and technical assistance targeting individual support for each required component of the methodology.","Nov 18 2018 12:00AM","Q4 2018"
"Dec  7 2018  1:07PM","Dec  7 2018  1:07PM","RRB","Medicare","a","Jun 18 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:19PM","Dec 11 2018  3:19PM","ED","William D. Ford Federal Direct Loan Program ","In FY18, the Department of Education recaptured approximately $45 million in overpayments, including roughly $40 million for FSAâ€™s high-priority programs. ","Sep 18 2018 12:00AM","Q4 2018"
"Dec 11 2018  3:37PM","Dec 11 2018  3:37PM","ED","Federal Pell Grant Program","In FY18, the Department of Education recaptured approximately $45 million in overpayments, including roughly $40 million for FSAâ€™s high-priority programs. ","Sep 18 2018 12:00AM","Q4 2018"
"Oct 21 2022  9:10AM","Oct 21 2022  9:10AM","SSA","Supplemental Security Income (SSI)","We released a blog and social media posts to promote the my Social Security account's 10th anniversary and to highlight the many secure and convenient self-service options online, including wage reporting.","Jun  1 2022 12:00AM","Q4 2022"
"Dec 12 2018  8:08AM","Dec 12 2018  8:08AM","ED","William D. Ford Federal Direct Loan Program ","In FY18, the Department of Education recaptured approximately $45 million in overpayments, including roughly $40 million for Federal Student Aidâ€™s high-priority programs.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 12 2018  8:23AM","Dec 12 2018  8:23AM","ED","Federal Pell Grant Program","In FY18, the Department of Education recaptured approximately $45 million in overpayments, including roughly $40 million for Federal Student Aidâ€™s high-priority programs.","Sep 18 2018 12:00AM","Q4 2018"
"Dec 13 2018 12:13PM","Dec 13 2018 12:13PM","VA","Purchased Long Term Services and Supports","Secured approval for additional detail to support IPERA that will help reduce lack of documentation errors (see Root Cause #2).","Nov 18 2018 12:00AM","Q4 2018"
"Dec 13 2018  2:34PM","Dec 13 2018  2:34PM","DOT","Federal Highway Administration Highway Planning and Construction","Corrective actions for recipient specific root causes from 2017 findings were completed.","Jun 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  9:11AM","Dec 14 2018  9:11AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Finalized FY 2019 return preparer strategy","Jul 18 2018 12:00AM","Q4 2018"
"Dec 14 2018 12:35PM","Dec 14 2018 12:35PM","VA","Pension","VA released regulation AO73-Net Worth, Asset Transfer and Income Exclusions for Needs-Based Benefits Regulation that establishes a bright line net worth limit to promote consistency and uniformity in pension benefits decisions; and, establishment of ","Oct 18 2018 12:00AM","Q4 2018"
"Dec 14 2018  1:15PM","Dec 14 2018  1:15PM","VA","VA Community Care","OCC staff completed  an assessment on transitioning business rules into FBCS. The assessment was focused on identifying new business rules to help identify improper payments in a pre-payment state. The assessment was completed on 10/25/2018 and resul","Oct 18 2018 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Completed Joint Case Reviews will all 17 reporting states in FY18. Reviews provide oversight of the improper payment methodology, assist in identifying areas for improvement, & allow grantees to self-identify areas needing correction.","Jun 18 2018 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","As of September 2018, 46 states have secured access to Death Master File data through CMS' Data Exchange system.","Sep 18 2018 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","As of September 2018, 46 states have secured access to Death Master File data through CMS' Data Exchange system.","Sep 18 2018 12:00AM","Q4 2018"
"Feb  5 2019 12:00AM","","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","National Correct Coding Initiative Edits saved the Medicare program $505.30 million in the first three quarters of FY 2018.","Sep 18 2018 12:00AM","Q4 2018"
