"Fiscal_Year","Agency","Program_Name","Column_names","Multiselect_Text","Question","Section","Reporting_Phases_Current_FY"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp2_atp1_8","Audit","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Forgiveness","cyp6_app1_8","","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp7_atp1_8","","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp7_app1_8","","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","CNCS","The Senior Companion Program (SCP)","cyp7_app1_8","Training","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","CNCS","The Senior Companion Program (SCP)","cyp7_atp1_8","Training","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Predictive Analytics","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Behavioral/Psych Influence","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Automation","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Audit","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Cross Enterprise Sharing","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp2_app1_8","Change Process","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp6_atp1_8","","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp6_app1_8","","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","VA","Supplies and Materials","cyp2_app1_8","Change Process","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Forgiveness","cyp5_atp1_8","Change Process","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Forgiveness","cyp5_app1_8","Change Process","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","VA","Supplies and Materials","cyp2_atp1_8","Change Process","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","cyp3_app1_8","Automation","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","cyp3_atp1_8","Automation","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","cyp3_atp1_8","Change Process","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Automation","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOD","Travel Pay Army – Defense Travel System (DTS)","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","DOD","Travel Pay Army – Defense Travel System (DTS)","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","DOL","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","cyp7_atp1_8","Training","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","DOL","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","cyp7_atp1_8","Cross Enterprise Sharing","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp5_atp1_8","","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp5_app1_8","","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Forgiveness","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Forgiveness","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","VA","Supplies and Materials","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Behavioral/Psych Influence","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Training","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Change Process","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Cross Enterprise Sharing","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Audit","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Predictive Analytics","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Statutory Change","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","VA","Supplies and Materials","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_atp1_8","Automation","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOD","Travel Pay Army – Defense Travel System (DTS)","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOD","Travel Pay Army – Defense Travel System (DTS)","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp5_app1_8","Change Process","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp5_atp1_8","Training","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp5_atp1_8","Change Process","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","cyp5_atp1_8","Audit","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","USDA","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program (LFP)","cyp2_app1_8","Audit","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program (LFP)","cyp2_app1_8","Automation","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program (LFP)","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp3_app1_8","Audit","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp7_atp1_8","","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp7_app1_8","","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp6_atp1_8","","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp6_app1_8","","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","USDA","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program (LFP)","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","cyp3_atp1_8","Audit","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","VA","Supplies and Materials","cyp5_app1_8","","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","VA","Supplies and Materials","cyp5_atp1_8","","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Forgiveness","cyp2_atp1_8","Change Process","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","VA","Beneficiary Travel","cyp2_app1_8","Automation","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2023","VA","Beneficiary Travel","cyp2_atp1_8","Automation","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DOD","Travel Pay Army – Defense Travel System (DTS)","cyp5_app1_8","Training","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOD","Travel Pay Army – Defense Travel System (DTS)","cyp5_atp1_8","Training","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
